delivery_id,order_id,delivery_city,delivery_region,delivery_status,shipping_company,shipped_date,delivered_date
21,21,Kénitra,Rabat-Salé-Kénitra,delayed,Jibli,2025-07-16,2025-07-24
22,22,RABAT,Rabat-Salé-Kénitra,failed,Tanger Delivery,2025-03-04,
23,23,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2025-01-05,2025-07-01
24,24,Casablanca,Casablanca-Settat,delivered,Amana Express,2026-08-04,2026-04-13
25,25,Tanger,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,2025-02-25,2025-02-27
26,26,Agadir,Souss-Massa,delayed,Barid Logistics,2026-04-27,2026-05-02
27,27,Fès,Fes Meknes,delivered,Tanger Delivery,2026-04-04,2026-08-04
28,28,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-05-10,2025-05-14
29,29,TETOUAN,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-08-08,2025-08-16
30,30,Marrakech,Marrakech-Safi,delivered,Amana Express,2025-09-13,2025-09-18
31,31,Tangier,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-02-14,2025-02-15
32,32,Oujda,Oriental,delivered,Amana Express,2025-08-25,2025-08-27
33,33,Meknès,Fès-Meknès,delivered,Tanger Delivery,2025-10-17,2025-10-25
34,34,Fès,Fès-Meknès,failed,AtlasShip,2025-11-04,
35,35,Casablanca,Casablanca-Settat,delivered,Amana Express,2026-01-23,2026-01-29
36,36,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2025-10-28,2025-10-30
37,37,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Jibli,2025-10-30,2025-11-05
38,38,Tanger,Tanger-Tétouan-Al Hoceima,delivered,Jibli,2025-01-17,2025-01-23
39,39,Marrakech,Marrakech-Safi,delivered,AtlasShip,2025-08-10,2025-08-18
40,40,Fès,Fès-Meknès,DELIVERED,Barid Logistics,2025-09-12,2025-09-18
41,41,CASABLANCA,Casablanca-Settat,in_transit,Barid Logistics,2025-04-03,2025-04-06
42,42,CAS,Casablanca-Settat,livré,AtlasShip,2026-05-19,2026-05-21
43,43,Marrakech,Marrakech-Safi,delivered,Tanger Delivery,2025-07-24,2025-08-01
44,44,Fès,Fès-Meknès,delivered,AtlasShip,2026-02-04,2026-02-10
45,45,,Tanger-Tétouan-Al Hoceïma,failed,Barid Logistics,2025-05-01,
46,46,CAS,Casablanca-Settat,delivered,Tanger Delivery,2026-03-13,2026-03-16
47,47,Meknès,,delivered,Jibli,2025-11-01,2025-09-11
48,48,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2026-03-16,2026-03-22
49,49,Kénitra,Rabat-Salé-Kénitra,delivered,Tanger Delivery,2025-05-22,2025-05-25
50,50,rabat,RSK,delivered,Jibli,2025-05-02,2025-02-11
51,51,Rabat,Rabat-Salé-Kénitra,livré,Jibli,2025-09-30,2025-10-01
52,52,Tétouan,TTA,delivered,Jibli,2026-01-06,2026-01-07
53,53,Fès,Fes Meknes,in_transit,Amana Express,2025-09-03,2025-03-15
54,54,Kénitra,Rabat-Salé-Kénitra,delivered,Barid Logistics,2025-07-08,2025-07-15
55,55,Rabat,Rabat-Salé-Kénitra,delivered,Barid Logistics,2025-01-23,2025-01-25
56,56,Agadir,Souss-Massa,KO,Tanger Delivery,2025-03-23,2025-03-27
57,57,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2025-11-14,2025-11-18
58,58,Kénitra,Rabat Sale Kenitra,KO,Barid Logistics,2026-03-18,2026-03-24
59,59,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-07-23,2025-07-24
60,60,rabat,Rabat-Salé-Kénitra,delivered,Jibli,2025-01-25,2025-01-30
61,61,Tanger,,delivered,Tanger Delivery,2026-03-05,2026-03-13
62,62,Rabat,Rabat-Salé-Kénitra,KO,AtlasShip,2025-11-24,2025-11-26
63,63,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-11-20,2025-11-27
64,64,Tnja,Tanger-Tétouan-Al Hoceima,KO,Amana Express,2025-05-04,2025-05-12
65,65,Al Hoceïma,Tanger-Tétouan-Al Hoceima,delivered,Jibli,2025-08-10,2025-08-13
66,66,Tétouan,Tanger Tetouan,delivered,Amana Express,2026-04-12,2026-04-17
67,67,Agadir,Souss-Massa,delivered,Barid Logistics,2026-05-15,2026-05-16
68,68,Rabat,Rabat Sale Kenitra,delivered,Jibli,2025-05-26,2025-06-03
69,69,Agadir,Souss-Massa,delivered,AtlasShip,2025-06-08,2025-06-10
70,70,Kénitra,RSK,delivered,Jibli,2025-09-02,2025-09-07
71,71,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2025-10-31,2025-11-08
72,72,,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2026-01-04,2026-04-02
73,73,rabat,Rabat-Salé-Kénitra,delivered,Tanger Delivery,2025-09-10,2025-09-15
74,74,Tanger,,KO,Amana Express,2026-06-02,2026-02-14
75,75,TETOUAN,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-08-24,2025-09-01
76,76,Agadir,Souss-Massa,in_transit,Jibli,2026-02-28,2026-03-01
77,77,Agadir,Souss-Massa,delivered,AtlasShip,2026-09-05,2026-05-12
78,78,TNG,,failed,Barid Logistics,2025-09-30,
79,79,Casablanca,Casa Settat,delivered,AtlasShip,2025-10-31,2025-03-11
80,80,Casablanca,Casablanca-Settat,delivered,AtlasShip,2026-02-08,2026-02-09
81,81,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2026-01-02,2026-01-06
82,82,Agadir,Souss-Massa,delivered,Jibli,2025-05-28,2025-05-30
83,83,Casablanca,Casablanca-Settat,delivered,Jibli,2025-03-07,2025-03-08
84,84,Tanger,TTA,in_transit,Tanger Delivery,2026-01-15,2026-01-18
85,85,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Jibli,2025-08-02,2025-08-08
86,86,TETOUAN,Tanger-Tétouan-Al Hoceïma,failed,Barid Logistics,2025-02-19,2025-02-24
87,87,Casablanca,Casablanca-Settat,Livré,Amana Express,2025-09-26,2025-09-30
88,88,Agadir,Souss-Massa,delivered,Barid Logistics,2025-04-05,2025-04-08
89,89,Meknès,Fès-Meknès,delivered,Amana Express,2026-01-17,2026-01-21
90,90,Agadir,Souss-Massa,delivered,Jibli,2025-03-18,2025-03-24
91,91,Casablanca,Casablanca-Settat,delayed,Tanger Delivery,2025-05-08,2025-07-08
92,92,Al Hoceima,Tanger Tetouan,delayed,Jibli,2026-01-30,2026-06-02
93,93,Kénitra,Rabat-Salé-Kénitra,delivered,Barid Logistics,2026-02-20,2026-02-25
94,94,Agadir,Souss-Massa,delivered,Jibli,2026-02-13,2026-02-15
95,95,Agadir,Souss-Massa,delivered,Jibli,2025-11-04,2025-11-09
96,96,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Barid Logistics,2025-01-31,2025-02-01
97,97,Tanger,TTA,delivered,Jibli,2025-12-18,2025-12-20
98,98,Tétouan,Tanger-Tétouan-Al Hoceïma,in_transit,Tanger Delivery,2026-02-18,2026-02-22
99,99,Tanger,TTA,delivered,Amana Express,2025-06-09,2025-12-06
100,100,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-04-08,2025-04-14
101,101,Nador,Oriental,Livré,AtlasShip,2025-04-09,2025-04-12
102,102,RABAT,Rabat-Salé-Kénitra,delivered,Tanger Delivery,2025-01-16,2025-01-17
103,103,Fès,Fès-Meknès,delayed,Barid Logistics,2025-03-15,2025-03-21
104,104,Rabat,Rabat-Salé-Kénitra,delivered,AtlasShip,2026-04-05,2026-04-10
105,105,Al Hoceima,Tanger-Tétouan-Al Hoceïma,delayed,Tanger Delivery,2026-03-21,2026-03-26
106,106,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2025-01-07,2025-01-09
107,107,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-12-04,2025-12-08
108,108,Oujda,Oriental,delivered,Barid Logistics,2025-12-14,2025-12-22
109,109,CAS,Casablanca-Settat,delivered,Jibli,2025-10-14,2025-10-16
110,110,Rabat,Rabat Sale Kenitra,delivered,AtlasShip,2025-12-01,2025-01-14
111,111,Kénitra,Rabat-Salé-Kénitra,in_transit,Tanger Delivery,2026-03-08,2026-03-13
112,112,Tanger,TTA,delayed,Amana Express,2026-03-25,2026-04-02
113,113,Rabat,Rabat-Salé-Kénitra,delivered,Tanger Delivery,2025-09-29,2025-10-06
114,114,casa,Casablanca-Settat,delivered,Barid Logistics,2026-03-01,2026-03-09
115,115,Rabat,Rabat-Salé-Kénitra,delivered,Jibli,2025-01-10,2025-01-13
116,116,Oujda,Oriental,delivered,AtlasShip,2025-09-08,2025-08-13
117,117,Marrakech,Marrakech-Safi,failed,AtlasShip,2025-09-08,
118,118,Nador,Oriental,delivered,AtlasShip,2025-03-17,2025-03-22
119,119,Tangier,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,2025-06-03,
120,120,Al Hoceïma,Tanger-Tétouan-Al Hoceima,delivered,Tanger Delivery,2025-05-14,2025-05-21
121,121,Marrakech,Marrakech-Safi,delivered,Barid Logistics,2025-12-17,2025-12-18
122,122,Fès,Fès-Meknès,in_transit,Barid Logistics,2025-03-03,2025-03-06
123,123,Rabat,Rabat-Salé-Kénitra,delivered,AtlasShip,2025-01-05,2025-06-01
124,124,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2025-12-14,2025-12-15
125,125,Oujda,Oriental,delivered,AtlasShip,2025-02-28,2025-03-06
126,126,Tétouan,TTA,in_transit,Tanger Delivery,2025-12-09,2025-09-20
127,127,Fès,Fès-Meknès,delivered,Barid Logistics,2026-05-08,2026-05-09
128,128,rabat,Rabat-Salé-Kénitra,DELIVERED,Barid Logistics,2025-10-20,2025-10-24
129,129,Rabat,Rabat-Salé-Kénitra,KO,Jibli,2026-04-17,2026-04-18
130,130,Rabat,Rabat-Salé-Kénitra,livré,Amana Express,2025-08-16,2025-08-24
131,131,Casablanca,Casa Settat,delivered,Amana Express,2025-12-16,2025-12-18
132,132,Tetouan,Tanger Tetouan,delivered,Jibli,2025-04-26,2025-04-29
133,133,Agadir,Souss-Massa,KO,Tanger Delivery,2026-05-13,2026-05-20
134,134,,Oriental,failed,Tanger Delivery,2025-03-29,
135,135,casa,Casablanca-Settat,delivered,Tanger Delivery,2025-05-13,2025-05-18
136,136,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2025-11-24,2025-11-27
137,137,TNG,Tanger-Tétouan-Al Hoceïma,failed,AtlasShip,2025-01-25,
138,138,,Rabat-Salé-Kénitra,delivered,Barid Logistics,2025-09-25,2025-03-10
139,139,Rabat,Rabat-Salé-Kénitra,delivered,Amana Express,2025-05-02,2025-05-09
140,140,Oujda,Oriental,delivered,Tanger Delivery,2026-01-23,2026-01-29
141,141,casa,Casablanca-Settat,delivered,Tanger Delivery,2025-02-03,2025-02-06
142,142,Rabat,Rabat-Salé-Kénitra,in_transit,Jibli,2025-07-23,2025-07-25
143,143,tanger,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2026-03-18,2026-03-19
144,144,Tanger,Tanger-Tétouan-Al Hoceima,delivered,Barid Logistics,2026-03-18,2026-03-24
145,145,Casablanca,Casablanca-Settat,delivered,Amana Express,2026-01-14,2026-01-20
146,146,Marrakech,Marrakech-Safi,delivered,Tanger Delivery,2025-10-01,2025-01-18
147,147,casa,CASA-SETTAT,delivered,AtlasShip,2026-02-10,2026-02-16
148,148,CAS,Casablanca-Settat,delivered,Jibli,2025-02-05,2025-08-02
149,149,Fès,Fès-Meknès,KO,Jibli,2025-12-03,2025-11-12
150,150,Agadir,Souss-Massa,livré,AtlasShip,2026-03-23,2026-03-30
151,151,Oujda,Oriental,delivered,AtlasShip,2025-02-16,2025-02-17
152,152,TNG,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2025-10-08,2025-10-15
153,153,Fès,Fès-Meknès,failed,Jibli,2026-05-06,
154,154,TANGER,Tanger-Tétouan-Al Hoceïma,KO,Barid Logistics,2026-01-24,2026-01-25
155,155,AL HOCEIMA,Tanger-Tétouan-Al Hoceïma,delayed,Amana Express,2026-05-20,2026-05-22
156,156,,Casablanca-Settat,delivered,Amana Express,2025-12-27,2026-01-03
157,157,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2026-04-17,2026-04-25
158,158,Fès,Fès-Meknès,DELIVERED,Amana Express,2025-02-03,2025-02-06
159,159,Tangier,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-01-30,2025-02-05
160,160,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,DELIVERED,Jibli,2026-04-09,2026-04-13
161,161,Rabat,RSK,delivered,Barid Logistics,2025-11-13,2025-11-16
162,162,Casablanca,Casa Settat,delayed,AtlasShip,2025-11-05,2025-11-08
163,163,Nador,Oriental,delivered,Barid Logistics,2025-04-24,2025-05-01
164,164,Fès,Fès-Meknès,DELIVERED,Barid Logistics,2026-03-29,2026-04-06
165,165,Tanger,Tanger-Tétouan-Al Hoceïma,delayed,Barid Logistics,2025-12-01,2025-12-08
166,166,CAS,Casablanca-Settat,delivered,Jibli,2025-08-18,2025-08-22
167,167,Agadir,Souss-Massa,delivered,Barid Logistics,2026-03-31,2026-04-03
168,168,Casablanca,Casa Settat,delayed,AtlasShip,2026-01-30,2026-02-02
169,169,Casablanca,Casablanca-Settat,delivered,Jibli,2025-03-27,2025-03-04
170,170,Marrakech,Marrakech-Safi,delayed,Tanger Delivery,2025-11-15,2025-11-16
171,171,Casablanca,Casablanca-Settat,delivered,AtlasShip,2025-11-01,2025-03-11
172,172,Tanger,Tanger-Tétouan-Al Hoceima,delayed,Tanger Delivery,2025-06-01,2025-01-14
173,173,RABAT,RSK,delivered,Jibli,2025-11-09,2025-11-11
174,174,Oujda,Oriental,delayed,Barid Logistics,2026-03-07,2026-03-13
175,175,CASABLANCA,Casablanca-Settat,delivered,Jibli,2025-10-29,2025-11-03
176,176,Agadir,Souss-Massa,delivered,Jibli,2025-12-17,2025-12-25
177,177,Marrakech,Marrakech-Safi,delivered,Barid Logistics,2025-09-11,2025-09-13
178,178,Meknès,Fès-Meknès,delivered,Amana Express,2025-03-16,2025-03-24
179,179,Tetouan,,delivered,Jibli,2026-04-24,2026-04-27
180,180,TNG,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2026-04-25,2026-05-02
181,181,Fès,Fès-Meknès,delivered,Tanger Delivery,2025-07-11,2025-07-18
182,182,Agadir,Souss-Massa,delivered,Jibli,2025-04-18,2025-04-26
183,183,Meknès,Fès-Meknès,delivered,Tanger Delivery,2026-03-30,2026-04-06
184,184,Marrakech,Marrakech-Safi,delivered,Barid Logistics,2025-10-04,2025-10-08
185,185,Oujda,Oriental,delivered,AtlasShip,2026-05-02,2026-05-08
186,186,Oujda,Oriental,delivered,AtlasShip,2025-05-19,2025-05-15
187,187,Marrakech,Marrakech-Safi,Livré,Jibli,2025-12-19,2025-12-26
188,188,Rabat,Rabat Sale Kenitra,delivered,AtlasShip,2025-03-13,2025-03-21
189,189,Tétouan,Tanger-Tétouan-Al Hoceïma,DELIVERED,Jibli,2026-03-29,2026-04-05
190,190,Marrakech,Marrakech-Safi,delayed,Tanger Delivery,2025-11-17,2025-11-23
191,191,Fès,Fès-Meknès,in_transit,Amana Express,2025-06-10,2025-06-14
192,192,,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-11-26,2025-11-28
193,193,AL HOCEIMA,Tanger-Tétouan-Al Hoceïma,KO,Barid Logistics,2025-08-22,2025-08-27
194,194,Marrakech,,delivered,Tanger Delivery,2025-08-25,2025-08-29
195,195,Fès,Fès-Meknès,delivered,Amana Express,2025-12-15,2025-12-18
196,196,TNG,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2025-02-08,2025-08-10
197,197,Marrakech,,delayed,Jibli,2025-01-05,2025-05-07
198,198,Marrakech,Marrakech-Safi,delivered,AtlasShip,2025-01-08,2025-01-13
199,199,Agadir,Souss-Massa,delivered,Barid Logistics,2025-10-27,2025-04-11
200,200,AL HOCEIMA,Tanger-Tétouan-Al Hoceima,delivered,Tanger Delivery,2025-08-06,2025-06-16
201,201,Tanger,Tanger-Tétouan-Al Hoceïma,KO,Jibli,2025-02-25,2025-02-26
202,202,Casablanca,Casablanca-Settat,delivered,Amana Express,2025-10-24,2025-10-29
203,203,Rabat,Rabat Sale Kenitra,delivered,Amana Express,2025-12-05,2025-12-13
204,204,Casablanca,CASA-SETTAT,delivered,Amana Express,2026-04-27,2026-05-05
205,205,Tanger,Tanger-Tétouan-Al Hoceïma,KO,Barid Logistics,2025-02-20,2025-02-24
206,206,Kénitra,Rabat-Salé-Kénitra,failed,AtlasShip,2026-05-09,
207,207,Marrakech,,delivered,Barid Logistics,2025-06-07,2025-06-11
208,208,Casablanca,Casablanca-Settat,delivered,Tanger Delivery,2026-03-03,2026-03-11
209,209,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-03-18,2025-03-24
210,210,Agadir,Souss-Massa,delayed,AtlasShip,2025-03-29,2025-02-04
211,211,Meknès,Fès-Meknès,delivered,AtlasShip,2025-05-20,2025-05-27
212,212,Rabat,Rabat-Salé-Kénitra,delayed,Barid Logistics,2026-04-24,2026-04-25
213,213,,Casa Settat,delivered,AtlasShip,2025-04-28,2025-05-03
214,214,Marrakech,Marrakech-Safi,delivered,AtlasShip,2026-04-14,2026-04-21
215,215,Tnja,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2025-01-07,2025-01-12
216,216,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,Livré,Amana Express,2025-01-25,2025-01-30
217,217,Fès,Fès-Meknès,delivered,Amana Express,2026-04-04,2026-05-04
218,218,Tétouan,Tanger-Tétouan-Al Hoceïma,Livré,Jibli,2025-02-26,2025-02-27
219,219,Agadir,Souss-Massa,delivered,Amana Express,2026-01-25,2026-02-02
220,220,Tétouan,Tanger-Tétouan-Al Hoceïma,failed,AtlasShip,2025-07-15,2025-07-17
221,221,Kénitra,Rabat-Salé-Kénitra,livré,AtlasShip,2025-09-06,2025-09-13
222,222,Rabat,Rabat-Salé-Kénitra,livré,Barid Logistics,2025-04-21,2025-04-24
223,223,Rabat,Rabat-Salé-Kénitra,livré,Tanger Delivery,2025-01-23,2025-01-26
224,224,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-03-12,2025-03-14
225,225,Agadir,Souss-Massa,delivered,AtlasShip,2026-05-20,2026-05-22
226,226,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2026-03-11,2026-03-17
227,227,Rabat,Rabat-Salé-Kénitra,delivered,Jibli,2025-10-13,2025-10-15
228,228,Tanger,Tanger-Tétouan-Al Hoceïma,failed,Jibli,2026-03-30,
229,229,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2026-05-05,2026-05-06
230,230,Casablanca,Casablanca-Settat,DELIVERED,AtlasShip,2025-06-25,2025-06-27
231,231,,Fès-Meknès,delivered,AtlasShip,2025-09-10,2025-09-11
232,232,Al Hoceïma,,delivered,Tanger Delivery,2026-04-01,2026-04-08
233,233,Rabat,Rabat-Salé-Kénitra,delayed,AtlasShip,2026-02-24,2026-03-01
234,234,Tanger,Tanger Tetouan,delivered,Jibli,2025-06-19,2025-06-20
235,235,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2025-12-03,2025-12-08
236,236,Rabat,Rabat-Salé-Kénitra,failed,Amana Express,2026-03-18,
237,237,Oujda,Oriental,DELIVERED,Barid Logistics,2025-01-14,2025-01-19
238,238,Agadir,Souss-Massa,delivered,AtlasShip,2025-09-08,2025-09-13
239,239,Agadir,Souss-Massa,delivered,Barid Logistics,2025-01-07,2025-01-10
240,240,Casablanca,Casa Settat,delivered,Jibli,2025-01-28,2025-01-31
241,241,Marrakech,Marrakech-Safi,delivered,Tanger Delivery,2026-10-03,2026-03-06
242,242,Casablanca,Casablanca-Settat,delivered,Barid Logistics,2025-08-27,2025-09-01
243,243,Marrakech,Marrakech-Safi,failed,Amana Express,2026-04-28,2026-05-02
244,244,Casablanca,Casa Settat,KO,Amana Express,2025-11-10,2025-11-12
245,245,Tétouan,Tanger-Tétouan-Al Hoceima,delivered,Barid Logistics,2025-08-05,2025-08-08
246,246,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-01-04,2025-01-07
247,247,Nador,Oriental,delivered,Amana Express,2025-06-26,2025-07-02
248,248,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,delivered,Tanger Delivery,2026-01-04,2026-09-01
249,249,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2025-09-04,2025-04-11
250,250,Agadir,,delivered,AtlasShip,2026-05-20,2026-05-26
251,251,Fès,Fès-Meknès,delivered,AtlasShip,2025-09-09,2025-09-14
252,252,Rabat,Rabat-Salé-Kénitra,in_transit,Tanger Delivery,2025-12-05,2025-05-14
253,253,Rabat,Rabat Sale Kenitra,delivered,Jibli,2025-03-05,2025-03-06
254,254,Rabat,Rabat-Salé-Kénitra,in_transit,Jibli,2026-01-06,2026-01-11
255,255,Rabat,Rabat-Salé-Kénitra,delivered,Barid Logistics,2026-01-25,2026-01-27
256,256,Rabat,,DELIVERED,Jibli,2026-10-01,2026-01-17
257,257,,Rabat-Salé-Kénitra,delivered,Barid Logistics,2025-03-27,2025-04-04
258,258,Casablanca,Casablanca-Settat,delivered,Jibli,2026-02-18,2026-02-25
259,259,Fès,Fès-Meknès,delivered,Tanger Delivery,2026-05-21,2026-05-29
260,260,Tanger,Tanger-Tétouan-Al Hoceïma,in_transit,Tanger Delivery,2025-10-10,2025-10-15
261,261,TANGER,Tanger Tetouan,delivered,Barid Logistics,2025-09-25,2025-09-30
262,262,,Tanger-Tétouan-Al Hoceïma,delivered,Barid Logistics,2026-01-01,2026-02-01
263,263,Fès,Fes Meknes,failed,Barid Logistics,2026-03-29,2026-04-01
264,264,Rabat,Rabat-Salé-Kénitra,KO,Tanger Delivery,2025-02-07,2025-09-02
265,265,Tétouan,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,2025-03-08,
266,266,Tétouan,TTA,failed,Tanger Delivery,2025-01-29,2025-02-05
267,267,Tangier,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-06-16,2025-06-22
268,268,Marrakech,Marrakech-Safi,failed,Barid Logistics,2025-07-06,
269,269,Nador,Oriental,delivered,AtlasShip,2025-08-20,2025-08-21
270,270,Agadir,Souss-Massa,failed,Jibli,2025-11-07,
271,271,Marrakech,Marrakech-Safi,delivered,Jibli,2025-02-13,2025-02-20
272,272,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Jibli,2025-01-20,2025-01-23
273,273,Agadir,Souss-Massa,delayed,Jibli,2025-05-11,2025-05-12
274,274,Oujda,,delivered,Amana Express,2026-01-23,2026-01-28
275,275,Agadir,,KO,Barid Logistics,2025-09-09,2025-09-12
276,276,Nador,Oriental,delivered,Barid Logistics,2025-08-29,2025-09-05
277,277,Kénitra,Rabat-Salé-Kénitra,delivered,AtlasShip,2025-04-27,2025-04-30
278,278,Meknès,Fès-Meknès,failed,Barid Logistics,2025-02-18,2025-02-20
279,279,Marrakech,Marrakech-Safi,failed,Tanger Delivery,2025-12-11,
280,280,TANGER,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-11-06,2025-06-13
281,281,Casablanca,Casablanca-Settat,delivered,Tanger Delivery,2025-03-22,2025-03-30
282,282,Casablanca,Casablanca-Settat,delivered,AtlasShip,2026-01-10,2026-01-17
283,283,Oujda,Oriental,DELIVERED,Barid Logistics,2025-10-18,2025-10-24
284,284,Agadir,Souss-Massa,delivered,Jibli,2025-11-24,2025-12-02
285,285,Tétouan,Tanger-Tétouan-Al Hoceïma,delivered,AtlasShip,2025-09-22,2025-09-24
286,286,Tetouan,Tanger-Tétouan-Al Hoceïma,failed,Amana Express,2025-09-07,2025-09-14
287,287,Agadir,Souss-Massa,in_transit,Jibli,2025-04-22,2025-04-23
288,288,TNG,Tanger-Tétouan-Al Hoceïma,DELIVERED,Barid Logistics,2025-12-27,2025-12-28
289,289,TETOUAN,Tanger-Tétouan-Al Hoceima,delayed,Tanger Delivery,2025-10-31,2025-11-02
290,290,Meknès,Fès-Meknès,delivered,AtlasShip,2025-12-15,2025-12-22
291,291,Tetouan,Tanger Tetouan,Livré,Barid Logistics,2026-02-17,2026-02-23
292,292,Fès,Fès-Meknès,delivered,Barid Logistics,2025-05-23,2025-05-30
293,293,,Souss-Massa,delivered,Tanger Delivery,2025-10-03,2025-03-14
294,294,Casablanca,Casablanca-Settat,delayed,Barid Logistics,2025-03-13,2025-03-16
295,295,Tanger,Tanger-Tétouan-Al Hoceïma,delivered,Amana Express,2025-06-20,2025-06-28
296,296,casa,Casa Settat,failed,AtlasShip,2025-06-24,
297,297,Oujda,Oriental,delivered,Barid Logistics,2026-01-13,2026-01-21
298,298,Meknès,Fès-Meknès,failed,Tanger Delivery,2025-06-03,
299,299,Marrakech,Marrakech-Safi,delivered,Barid Logistics,2025-02-06,2025-08-06
300,300,CASABLANCA,Casa Settat,livré,Barid Logistics,2025-03-12,2025-03-20
301,301,Casablanca,Casablanca-Settat,delivered,Amana Express,2025-12-11,2025-11-16
302,302,Meknès,Fès-Meknès,delivered,Tanger Delivery,2026-04-27,2026-04-29
303,303,Tanger,,delivered,Jibli,2025-07-09,2025-07-17
304,304,Rabat,Rabat-Salé-Kénitra,Livré,Tanger Delivery,2025-03-28,2025-03-30
