product_id,product_name,category,sub_category,brand,supplier,price,created_at
33,MedConnect Smartphones 033,Electronics,Smartphones,DigiNord,Maroc Distribution,4632.96,2025-12-10
34,CasaMobile Laptops 034,Electronics,Laptops,DigiNord,Atlas Wholesale,5775.23,2025-11-23
35,MedConnect Headphones 035,Electronics,Headphones,CasaMobile,Tanger Supply,-340.55,2025-05-04
36,MedConnect Smart Watches 036,Electronics,Smart Watches,AtlasTech,Maroc Distribution,3688.39,2024-12-03
37,DigiNord Accessories 037,Electronics,Accessories,MedConnect,Tanger Supply,296.21,2024-12-19
38,Nakhil Shoes 038,Fashion,Shoes,TanjaStyle,Tanger Supply,283.49,2024-10-28
39,UrbanSouk T-Shirts 039,Fashion,T-Shirts,Nakhil,Atlas Wholesale,465.39,2024-12-03
40,UrbanSouk Jackets 040,Fashion,Jackets,TanjaStyle,Atlas Wholesale,1433.29,2025-06-29
41,Nakhil Bags 041,Fashion,Bags,UrbanSouk,Tanger Supply,1155.38,2025-05-05
42,TanjaStyle Traditional Clothes 042,Fashion,Traditional Clothes,Nakhil,Atlas Wholesale,2303.25,2025-07-13
43,RifBio Dates 043,Food,Dates,RifBio,Maroc Distribution,80.86,2025-02-19
44,RifBio Olive Oil 044,Food,Olive Oil,AgriMaroc,Tanger Supply,400.83,2025-11-13
45,SaharaTaste Tea 045,Food,Tea,AgriMaroc,MediSupplier,194.62,2025-03-29
46,AgriMaroc Spices 046,Food,Spices,AtlasGourmet,Tanger Supply,94.26,2025-01-14
47,AgriMaroc Biscuits 047,Food,Biscuits,AtlasGourmet,Tanger Supply,49.79,2024-10-21
48,RifBio Canned Food 048,Food,Canned Food,AtlasGourmet,Tanger Supply,41.29,2025-04-05
49,DigiNord Smartphones 049,Electronics,Smartphones,DigiNord,MediSupplier,1748.49,2025-04-23
50,AtlasTech Laptops 050,Electronics,Laptops,CasaMobile,Tanger Supply,9845.09,2024-08-13
51,CasaMobile Headphones 051,Electronics,Headphones,AtlasTech,Atlas Wholesale,1453.77,2025-02-04
52,AtlasTech Smart Watches 052,Electronics,Smart Watches,DigiNord,Atlas Wholesale,1311.34,2024-06-19
53,CasaMobile Accessories 053,Electronics,Accessories,CasaMobile,MediSupplier,793.12,2025-10-03
54,TanjaStyle Shoes 054,Fashion,Shoes,MedinaWear,Tanger Supply,711.80,2024-03-29
55,MedinaWear T-Shirts 055,Fashion,T-Shirts,TanjaStyle,Maroc Distribution,479.93,2024-10-03
56,Nakhil Jackets 056,Fashion,Jackets,Nakhil,MediSupplier,976.81,2025-05-06
57,Nakhil Bags 057,Fashion,Bags,MedinaWear,Atlas Wholesale,184.44,2024-05-11
58,UrbanSouk Traditional Clothes 058,Fashion,Traditional Clothes,UrbanSouk,Maroc Distribution,915.70,2025-08-23
59,AgriMaroc Dates 059,Food,Dates,SaharaTaste,Tanger Supply,58.87,2025-05-12
60,AtlasGourmet Olive Oil 060,Food,Olive Oil,RifBio,MediSupplier,79.88,2025-09-03
61,AtlasGourmet Tea 061,Food,Tea,RifBio,Tanger Supply,101.33,2024-08-21
62,RifBio Spices 062,Food,Spices,AgriMaroc,Atlas Wholesale,44.23,2025-06-05
63,SaharaTaste Biscuits 063,Food,Biscuits,RifBio,Maroc Distribution,-33.06,2025-12-27
64,AgriMaroc Canned Food 064,Food,Canned Food,SaharaTaste,Atlas Wholesale,31.83,2024-03-23
65,AtlasTech Smartphones 065,Electronics,Smartphones,MedConnect,MediSupplier,8939.93,2025-01-10
66,AtlasTech Laptops 066,Electronics,Laptops,CasaMobile,Maroc Distribution,14178.85,2026-01-07
67,DigiNord Headphones 067,Electronics,Headphones,MedConnect,Maroc Distribution,1590.47,2025-12-12
68,AtlasTech Smart Watches 068,Electronics,Smart Watches,MedConnect,Atlas Wholesale,2846.44,2025-07-29
69,DigiNord Accessories 069,Electronics,Accessories,DigiNord,MediSupplier,403.11,2025-01-31
70,UrbanSouk Shoes 070,Fashion,Shoes,UrbanSouk,Maroc Distribution,1052.84,2025-03-27
71,TanjaStyle T-Shirts 071,Fashion,T-Shirts,Nakhil,Tanger Supply,194.11,2024-05-17
72,Nakhil Jackets 072,Fashion,Jackets,UrbanSouk,Atlas Wholesale,339.62,2025-07-04
73,Nakhil Bags 073,Fashion,Bags,UrbanSouk,Maroc Distribution,519.95,2024-05-16
74,TanjaStyle Traditional Clothes 074,Fashion,Traditional Clothes,UrbanSouk,Maroc Distribution,360.71,2025-05-31
75,SaharaTaste Dates 075,Food,Dates,RifBio,Atlas Wholesale,175.95,2025-06-09
76,AgriMaroc Olive Oil 076,Food,Olive Oil,SaharaTaste,MediSupplier,328.77,2024-01-01
77,AtlasGourmet Tea 077,Food,Tea,AgriMaroc,Tanger Supply,67.45,2025-10-09
78,AgriMaroc Spices 078,Food,Spices,SaharaTaste,Tanger Supply,103.02,2024-07-29
79,AgriMaroc Biscuits 079,Food,Biscuits,AgriMaroc,Tanger Supply,48.95,2025-06-21
80,SaharaTaste Canned Food 080,Food,Canned Food,AtlasGourmet,MediSupplier,76.27,2026-01-05
81,CasaMobile Smartphones 081,Electronics,Smartphones,CasaMobile,Atlas Wholesale,8651.64,2025-08-08
82,CasaMobile Laptops 082,Electronics,Laptops,AtlasTech,Tanger Supply,6054.26,2025-04-15
83,AtlasTech Headphones 083,Electronics,Headphones,AtlasTech,MediSupplier,1655.68,2025-04-20
84,CasaMobile Smart Watches 084,Electronics,Smart Watches,AtlasTech,Atlas Wholesale,1880.91,2024-10-02
85,CasaMobile Accessories 085,Electronics,Accessories,CasaMobile,Maroc Distribution,990.89,2025-09-22
86,TanjaStyle Shoes 086,Fashion,Shoes,Nakhil,Tanger Supply,1379.23,2024-11-13
87,MedinaWear T-Shirts 087,Fashion,T-Shirts,Nakhil,MediSupplier,323.54,2024-12-07
88,UrbanSouk Jackets 088,Fashion,Jackets,Nakhil,Tanger Supply,813.54,2024-03-15
89,Nakhil Bags 089,Fashion,Bags,TanjaStyle,Maroc Distribution,509.22,2024-10-25
90,UrbanSouk Traditional Clothes 090,Fashion,Traditional Clothes,UrbanSouk,MediSupplier,800.23,2025-12-16
91,SaharaTaste Dates 091,Food,Dates,AtlasGourmet,MediSupplier,69.62,2024-08-03
92,AgriMaroc Olive Oil 092,Food,Olive Oil,SaharaTaste,Maroc Distribution,181.48,2025-12-31
93,AtlasGourmet Tea 093,Food,Tea,AgriMaroc,Maroc Distribution,42.40,2024-02-13
94,AtlasGourmet Spices 094,Food,Spices,RifBio,Maroc Distribution,112.70,2024-11-12
95,SaharaTaste Biscuits 095,Food,Biscuits,RifBio,Atlas Wholesale,61.05,2024-09-03
96,AgriMaroc Canned Food 096,Food,Canned Food,AgriMaroc,Maroc Distribution,105.01,2025-04-16
97,MedConnect Smartphones 097,Electronics,Smartphones,MedConnect,MediSupplier,5604.02,2024-08-04
98,DigiNord Laptops 098,Electronics,Laptops,MedConnect,Maroc Distribution,11981.75,2025-01-31
99,MedConnect Headphones 099,Electronics,Headphones,MedConnect,Maroc Distribution,1511.92,2025-11-02
100,DigiNord Smart Watches 100,Electronics,Smart Watches,DigiNord,Tanger Supply,2039.80,2024-02-25
101,DigiNord Accessories 101,Electronics,Accessories,DigiNord,Maroc Distribution,1102.92,2025-10-05
102,TanjaStyle Shoes 102,Fashion,Shoes,UrbanSouk,Maroc Distribution,1218.37,2025-02-01
103,Nakhil T-Shirts 103,Fashion,T-Shirts,Nakhil,MediSupplier,432.75,2024-10-11
104,MedinaWear Jackets 104,Fashion,Jackets,Nakhil,Maroc Distribution,1175.71,2025-03-12
105,Nakhil Bags 105,Fashion,Bags,MedinaWear,MediSupplier,1230.09,2025-05-06
106,MedinaWear Traditional Clothes 106,Fashion,Traditional Clothes,UrbanSouk,MediSupplier,1756.86,2025-05-29
107,SaharaTaste Dates 107,Food,Dates,RifBio,Tanger Supply,114.75,2024-08-15
108,AtlasGourmet Olive Oil 108,Food,Olive Oil,RifBio,Tanger Supply,497.99,2024-05-06
109,RifBio Tea 109,Food,Tea,RifBio,Tanger Supply,217.34,2025-03-04
110,SaharaTaste Spices 110,Food,Spices,SaharaTaste,Atlas Wholesale,60.80,2024-06-29
111,RifBio Biscuits 111,Food,Biscuits,SaharaTaste,Maroc Distribution,22.05,2025-04-08
112,AtlasGourmet Canned Food 112,Food,Canned Food,AtlasGourmet,Tanger Supply,19.04,2024-03-30
113,CasaMobile Smartphones 113,Electronics,Smartphones,DigiNord,Tanger Supply,7107.56,2025-03-14
114,DigiNord Laptops 114,Electronics,Laptops,AtlasTech,Maroc Distribution,12736.51,2024-09-03
115,CasaMobile Headphones 115,Electronics,Headphones,CasaMobile,Maroc Distribution,878.92,2025-02-14
116,AtlasTech Smart Watches 116,Electronics,Smart Watches,DigiNord,Atlas Wholesale,3913.39,2026-01-01
117,MedConnect Accessories 117,Electronics,Accessories,MedConnect,Atlas Wholesale,188.39,2024-12-10
118,TanjaStyle Shoes 118,Fashion,Shoes,TanjaStyle,MediSupplier,645.61,2024-09-22
119,Nakhil T-Shirts 119,Fashion,T-Shirts,TanjaStyle,Atlas Wholesale,93.09,2025-02-05
120,Nakhil Jackets 120,Fashion,Jackets,Nakhil,Atlas Wholesale,292.98,2025-12-13
121,Nakhil Bags 121,Fashion,Bags,Nakhil,Tanger Supply,769.59,2025-08-14
122,MedinaWear Traditional Clothes 122,Fashion,Traditional Clothes,Nakhil,Atlas Wholesale,1401.51,2025-11-08
123,AgriMaroc Dates 123,Food,Dates,SaharaTaste,Atlas Wholesale,220.69,2024-06-23
124,SaharaTaste Olive Oil 124,Food,Olive Oil,AtlasGourmet,Atlas Wholesale,94.56,2024-10-09
125,RifBio Tea 125,Food,Tea,AgriMaroc,Atlas Wholesale,218.20,2025-06-13
126,AgriMaroc Spices 126,Food,Spices,AgriMaroc,MediSupplier,24.58,2025-12-19
127,AgriMaroc Biscuits 127,Food,Biscuits,AgriMaroc,Atlas Wholesale,45.09,2024-09-08
128,AgriMaroc Canned Food 128,Food,Canned Food,RifBio,Tanger Supply,97.30,2025-09-14
129,AtlasTech Smartphones 129,Electronics,Smartphones,DigiNord,Tanger Supply,7755.05,2024-06-22
130,CasaMobile Laptops 130,Electronics,Laptops,AtlasTech,Atlas Wholesale,8789.33,2024-02-04
131,AtlasTech Headphones 131,Electronics,Headphones,DigiNord,Atlas Wholesale,1047.56,2025-09-24
132,CasaMobile Smart Watches 132,Electronics,Smart Watches,MedConnect,Atlas Wholesale,4270.61,2024-07-08
133,MedConnect Accessories 133,Electronics,Accessories,AtlasTech,MediSupplier,1074.99,2025-05-18
134,Nakhil Shoes 134,Fashion,Shoes,Nakhil,MediSupplier,514.47,2025-09-24
135,UrbanSouk T-Shirts 135,Fashion,T-Shirts,TanjaStyle,Tanger Supply,487.76,2024-09-06
136,MedinaWear Jackets 136,Fashion,Jackets,UrbanSouk,MediSupplier,406.04,2025-01-23
137,UrbanSouk Bags 137,Fashion,Bags,TanjaStyle,Tanger Supply,1117.86,2024-05-01
138,TanjaStyle Traditional Clothes 138,Fashion,Traditional Clothes,UrbanSouk,Maroc Distribution,1966.26,2025-01-01
139,SaharaTaste Dates 139,Food,Dates,AtlasGourmet,Maroc Distribution,200.52,2024-09-14
140,SaharaTaste Olive Oil 140,Food,Olive Oil,RifBio,Tanger Supply,296.74,2025-10-02
141,AtlasGourmet Tea 141,Food,Tea,AtlasGourmet,Atlas Wholesale,202.51,2025-10-07
142,AgriMaroc Spices 142,Food,Spices,AgriMaroc,Atlas Wholesale,73.70,2024-12-01
143,AgriMaroc Biscuits 143,Food,Biscuits,SaharaTaste,Tanger Supply,34.07,2024-09-26
144,RifBio Canned Food 144,Food,Canned Food,AtlasGourmet,Atlas Wholesale,64.66,2025-05-12
145,CasaMobile Smartphones 145,Electronics,Smartphones,CasaMobile,Atlas Wholesale,5357.04,2024-12-30
146,MedConnect Laptops 146,Electronics,Laptops,CasaMobile,Maroc Distribution,16770.36,2024-11-12
147,DigiNord Headphones 147,Electronics,Headphones,CasaMobile,Tanger Supply,1807.29,2025-03-23
148,DigiNord Smart Watches 148,Electronics,Smart Watches,CasaMobile,MediSupplier,892.19,2025-06-11
149,AtlasTech Accessories 149,Electronics,Accessories,MedConnect,Atlas Wholesale,163.28,2024-08-31
150,MedinaWear Shoes 150,Fashion,Shoes,UrbanSouk,Maroc Distribution,424.46,2024-12-31
151,TanjaStyle T-Shirts 151,Fashion,T-Shirts,TanjaStyle,Maroc Distribution,276.90,2024-05-01
152,UrbanSouk Jackets 152,Fashion,Jackets,TanjaStyle,MediSupplier,413.27,2024-06-05
153,MedinaWear Bags 153,Fashion,Bags,TanjaStyle,Maroc Distribution,-432.36,2025-01-23
154,TanjaStyle Traditional Clothes 154,Fashion,Traditional Clothes,Nakhil,Atlas Wholesale,1615.62,2024-02-23
155,AtlasGourmet Dates 155,Food,Dates,RifBio,Maroc Distribution,112.73,2024-10-26
156,AgriMaroc Olive Oil 156,Food,Olive Oil,AgriMaroc,Atlas Wholesale,322.91,2025-10-28
157,RifBio Tea 157,Food,Tea,AtlasGourmet,Maroc Distribution,75.18,2024-03-08
158,RifBio Spices 158,Food,Spices,AgriMaroc,MediSupplier,33.46,2024-01-23
159,AtlasGourmet Biscuits 159,Food,Biscuits,AgriMaroc,Maroc Distribution,42.70,2024-07-20
160,SaharaTaste Canned Food 160,Food,Canned Food,AgriMaroc,Tanger Supply,106.96,2025-04-09
161,MedConnect Smartphones 161,Electronics,Smartphones,CasaMobile,Tanger Supply,5683.09,2025-06-24
162,CasaMobile Laptops 162,Electronics,Laptops,CasaMobile,Maroc Distribution,17208.82,2024-11-09
163,AtlasTech Headphones 163,Electronics,Headphones,MedConnect,Atlas Wholesale,729.43,2025-07-09
164,AtlasTech Smart Watches 164,Electronics,Smart Watches,CasaMobile,Atlas Wholesale,4465.15,2024-04-29
165,DigiNord Accessories 165,Electronics,Accessories,CasaMobile,MediSupplier,102.49,2024-02-17
166,UrbanSouk Shoes 166,Fashion,Shoes,UrbanSouk,MediSupplier,667.72,2025-02-20
167,MedinaWear T-Shirts 167,Fashion,T-Shirts,MedinaWear,Atlas Wholesale,225.07,2025-02-12
168,UrbanSouk Jackets 168,Fashion,Jackets,MedinaWear,Maroc Distribution,1170.61,2024-08-03
169,MedinaWear Bags 169,Fashion,Bags,TanjaStyle,Tanger Supply,-850.76,2024-11-15
170,Nakhil Traditional Clothes 170,Fashion,Traditional Clothes,MedinaWear,MediSupplier,1454.33,2024-12-06
171,SaharaTaste Dates 171,Food,Dates,SaharaTaste,Tanger Supply,156.03,2025-06-04
172,SaharaTaste Olive Oil 172,Food,Olive Oil,AtlasGourmet,Maroc Distribution,181.33,2025-11-27
173,SaharaTaste Tea 173,Food,Tea,AgriMaroc,Atlas Wholesale,219.17,2024-06-19
174,SaharaTaste Spices 174,Food,Spices,SaharaTaste,Atlas Wholesale,121.96,2025-03-02
175,AtlasGourmet Biscuits 175,Food,Biscuits,SaharaTaste,Maroc Distribution,65.27,2024-06-25
176,AtlasGourmet Canned Food 176,Food,Canned Food,AgriMaroc,Maroc Distribution,41.71,2024-07-16
177,MedConnect Smartphones 177,Electronics,Smartphones,AtlasTech,Atlas Wholesale,7713.60,2024-07-09
178,MedConnect Laptops 178,Electronics,Laptops,AtlasTech,Tanger Supply,12694.28,2025-02-15
179,MedConnect Headphones 179,Electronics,Headphones,DigiNord,MediSupplier,369.19,2024-08-04
180,AtlasTech Smart Watches 180,Electronics,Smart Watches,MedConnect,MediSupplier,3511.89,2025-11-11
181,CasaMobile Accessories 181,Electronics,Accessories,DigiNord,MediSupplier,505.21,2024-02-13
182,UrbanSouk Shoes 182,Fashion,Shoes,MedinaWear,MediSupplier,849.60,2024-06-19
183,Nakhil T-Shirts 183,Fashion,T-Shirts,Nakhil,Tanger Supply,346.90,2025-10-18
184,Nakhil Jackets 184,Fashion,Jackets,TanjaStyle,MediSupplier,1006.66,2024-08-16
185,MedinaWear Bags 185,Fashion,Bags,MedinaWear,MediSupplier,649.45,2026-01-23
186,Nakhil Traditional Clothes 186,Fashion,Traditional Clothes,UrbanSouk,Tanger Supply,1466.76,2024-07-09
187,RifBio Dates 187,Food,Dates,AgriMaroc,Tanger Supply,68.09,2024-06-13
188,AtlasGourmet Olive Oil 188,Food,Olive Oil,AtlasGourmet,Maroc Distribution,127.75,2024-01-26
189,AgriMaroc Tea 189,Food,Tea,AgriMaroc,MediSupplier,199.53,2025-06-24
190,RifBio Spices 190,Food,Spices,AtlasGourmet,Atlas Wholesale,73.46,2025-12-05
191,SaharaTaste Biscuits 191,Food,Biscuits,SaharaTaste,Maroc Distribution,27.69,2024-01-29
192,SaharaTaste Canned Food 192,Food,Canned Food,AgriMaroc,MediSupplier,102.88,2024-04-07
193,DigiNord Smartphones 193,Electronics,Smartphones,CasaMobile,Atlas Wholesale,5664.25,2024-02-22
194,AtlasTech Laptops 194,Electronics,Laptops,MedConnect,Atlas Wholesale,13568.80,2025-05-23
195,AtlasTech Headphones 195,Electronics,Headphones,MedConnect,Atlas Wholesale,855.05,2025-08-26
196,MedConnect Smart Watches 196,Electronics,Smart Watches,MedConnect,MediSupplier,1133.38,2024-04-11
197,MedConnect Accessories 197,Electronics,Accessories,CasaMobile,MediSupplier,850.94,2024-06-09
198,MedinaWear Shoes 198,Fashion,Shoes,TanjaStyle,Maroc Distribution,526.50,2025-03-08
199,UrbanSouk T-Shirts 199,Fashion,T-Shirts,MedinaWear,Tanger Supply,335.11,2024-01-09
200,TanjaStyle Jackets 200,Fashion,Jackets,UrbanSouk,Maroc Distribution,726.97,2025-07-29
201,TanjaStyle Bags 201,Fashion,Bags,Nakhil,Maroc Distribution,311.07,2025-04-27
202,UrbanSouk Traditional Clothes 202,Fashion,Traditional Clothes,MedinaWear,Tanger Supply,2225.20,2024-01-09
203,AtlasGourmet Dates 203,Food,Dates,RifBio,Tanger Supply,156.32,2024-11-24
204,RifBio Olive Oil 204,Food,Olive Oil,SaharaTaste,Tanger Supply,134.01,2024-12-02
205,SaharaTaste Tea 205,Food,Tea,AtlasGourmet,Atlas Wholesale,184.30,2025-12-16
206,AgriMaroc Spices 206,Food,Spices,RifBio,MediSupplier,158.05,2025-01-24
207,AgriMaroc Biscuits 207,Food,Biscuits,SaharaTaste,MediSupplier,30.23,2024-10-04
208,RifBio Canned Food 208,Food,Canned Food,AgriMaroc,MediSupplier,50.56,2025-06-10
209,MedConnect Smartphones 209,Electronics,Smartphones,CasaMobile,Maroc Distribution,7911.22,2025-09-10
210,DigiNord Laptops 210,Electronics,Laptops,DigiNord,Atlas Wholesale,16338.09,2024-12-12
211,AtlasTech Headphones 211,Electronics,Headphones,DigiNord,Tanger Supply,757.01,2024-11-25
212,DigiNord Smart Watches 212,Electronics,Smart Watches,CasaMobile,Atlas Wholesale,2680.80,2025-09-15
213,MedConnect Accessories 213,Electronics,Accessories,DigiNord,Tanger Supply,656.04,2024-05-10
214,MedinaWear Shoes 214,Fashion,Shoes,UrbanSouk,Maroc Distribution,408.31,2025-12-08
215,MedinaWear T-Shirts 215,Fashion,T-Shirts,MedinaWear,Atlas Wholesale,117.10,2024-02-29
216,MedinaWear Jackets 216,Fashion,Jackets,MedinaWear,MediSupplier,1631.02,2025-07-03
217,UrbanSouk Bags 217,Fashion,Bags,Nakhil,Tanger Supply,1285.78,2025-11-30
218,TanjaStyle Traditional Clothes 218,Fashion,Traditional Clothes,MedinaWear,Tanger Supply,1530.41,2025-12-28
219,SaharaTaste Dates 219,Food,Dates,AtlasGourmet,MediSupplier,129.14,2025-04-06
220,AtlasGourmet Olive Oil 220,Food,Olive Oil,AgriMaroc,Atlas Wholesale,234.08,2024-05-09
221,AtlasGourmet Tea 221,Food,Tea,AgriMaroc,MediSupplier,68.81,2024-08-06
222,SaharaTaste Spices 222,Food,Spices,RifBio,Atlas Wholesale,21.81,2024-10-27
223,RifBio Biscuits 223,Food,Biscuits,RifBio,MediSupplier,36.96,2025-10-22
224,RifBio Canned Food 224,Food,Canned Food,AtlasGourmet,Atlas Wholesale,16.32,2025-05-23
225,CasaMobile Smartphones 225,Electronics,Smartphones,MedConnect,Maroc Distribution,6827.22,2025-02-12
226,AtlasTech Laptops 226,Electronics,Laptops,MedConnect,Maroc Distribution,14089.21,2024-11-09
227,MedConnect Headphones 227,Electronics,Headphones,DigiNord,MediSupplier,-1658.25,2025-08-27
228,DigiNord Smart Watches 228,Electronics,Smart Watches,MedConnect,MediSupplier,4035.35,2025-05-01
229,CasaMobile Accessories 229,Electronics,Accessories,DigiNord,Tanger Supply,370.56,2026-01-17
230,UrbanSouk Shoes 230,Fashion,Shoes,Nakhil,Maroc Distribution,1329.56,2024-03-11
231,MedinaWear T-Shirts 231,Fashion,T-Shirts,Nakhil,Tanger Supply,479.83,2025-08-08
232,Nakhil Jackets 232,Fashion,Jackets,TanjaStyle,Tanger Supply,1477.92,2024-04-20
233,TanjaStyle Bags 233,Fashion,Bags,UrbanSouk,MediSupplier,267.57,2024-10-16
234,TanjaStyle Traditional Clothes 234,Fashion,Traditional Clothes,UrbanSouk,Maroc Distribution,960.09,2024-11-30
235,RifBio Dates 235,Food,Dates,AtlasGourmet,MediSupplier,196.83,2025-11-08
236,SaharaTaste Olive Oil 236,Food,Olive Oil,RifBio,Maroc Distribution,79.70,2025-09-28
237,AtlasGourmet Tea 237,Food,Tea,SaharaTaste,MediSupplier,105.43,2025-10-17
238,AgriMaroc Spices 238,Food,Spices,SaharaTaste,Tanger Supply,141.41,2025-06-22
239,RifBio Biscuits 239,Food,Biscuits,RifBio,Maroc Distribution,64.61,2024-11-28
240,AtlasGourmet Canned Food 240,Food,Canned Food,AgriMaroc,Tanger Supply,53.77,2026-01-01
241,CasaMobile Smartphones 241,Electronics,Smartphones,MedConnect,Maroc Distribution,4938.12,2024-09-14
242,DigiNord Laptops 242,Electronics,Laptops,MedConnect,MediSupplier,14245.38,2025-04-02
243,AtlasTech Headphones 243,Electronics,Headphones,CasaMobile,Maroc Distribution,1370.97,2025-01-05
244,DigiNord Smart Watches 244,Electronics,Smart Watches,AtlasTech,MediSupplier,1718.49,2024-09-30
245,DigiNord Accessories 245,Electronics,Accessories,CasaMobile,Atlas Wholesale,651.18,2024-04-08
246,TanjaStyle Shoes 246,Fashion,Shoes,MedinaWear,MediSupplier,1257.43,2025-11-09
247,TanjaStyle T-Shirts 247,Fashion,T-Shirts,TanjaStyle,Tanger Supply,285.55,2025-10-29
248,UrbanSouk Jackets 248,Fashion,Jackets,UrbanSouk,MediSupplier,404.10,2025-06-08
249,TanjaStyle Bags 249,Fashion,Bags,MedinaWear,Tanger Supply,811.86,2025-04-04
250,Nakhil Traditional Clothes 250,Fashion,Traditional Clothes,UrbanSouk,Atlas Wholesale,1291.11,2025-08-22
251,SaharaTaste Dates 251,Food,Dates,AgriMaroc,Tanger Supply,238.07,2025-06-23
252,SaharaTaste Olive Oil 252,Food,Olive Oil,SaharaTaste,MediSupplier,418.01,2025-03-22
253,SaharaTaste Tea 253,Food,Tea,AtlasGourmet,Maroc Distribution,45.52,2025-05-09
254,RifBio Spices 254,Food,Spices,AtlasGourmet,Atlas Wholesale,46.26,2025-02-21
255,AgriMaroc Biscuits 255,Food,Biscuits,AgriMaroc,Maroc Distribution,33.21,2025-11-23
256,SaharaTaste Canned Food 256,Food,Canned Food,SaharaTaste,Atlas Wholesale,42.49,2024-02-28
257,AtlasTech Smartphones 257,Electronics,Smartphones,DigiNord,Atlas Wholesale,3959.00,2024-06-13
258,CasaMobile Laptops 258,Electronics,Laptops,DigiNord,MediSupplier,13578.86,2025-03-19
259,MedConnect Headphones 259,Electronics,Headphones,CasaMobile,MediSupplier,235.22,2024-10-03
260,MedConnect Smart Watches 260,Electronics,Smart Watches,AtlasTech,Atlas Wholesale,1308.26,2025-12-10
261,AtlasTech Accessories 261,Electronics,Accessories,AtlasTech,Maroc Distribution,253.60,2025-05-23
262,TanjaStyle Shoes 262,Fashion,Shoes,MedinaWear,Maroc Distribution,769.22,2024-06-03
263,UrbanSouk T-Shirts 263,Fashion,T-Shirts,MedinaWear,MediSupplier,242.90,2025-07-07
264,Nakhil Jackets 264,Fashion,Jackets,UrbanSouk,MediSupplier,915.01,2025-12-04
265,TanjaStyle Bags 265,Fashion,Bags,Nakhil,Atlas Wholesale,875.96,2024-02-14
