return_id,order_id,product_id,return_reason,return_date,refund_amount
49,2216,11,Damaged product,Dec 04 2025,218.35
50,4401,35,Quality issue,06-08-2025,1105.99
51,2707,241,Late delivery,Mar 28 2026,12898.74
52,4705,110,Quality issue,Jul 13 2025,129.28
53,3135,94,Wrong item,16-01-2025,211.98
54,3298,282,Customer changed mind,Mar 06 2026,1891.73
55,2106,211,Quality issue,06/01/2025,3806.17
56,1611,105,Quality issue,2026-01-06,5612.85
57,614,217,Damaged product,06/07/2025,0
58,3118,81,Damaged product,10-08-2025,16070.05
59,1322,25,Quality issue,04/25/2025,4845.72
60,1763,256,Wrong item,01/13/2026,40.54
61,1248,45,Wrong item,2025-10-13,980.9
62,1925,185,Late delivery,27-12-2025,1824.34
63,3817,174,Customer changed mind,2025-02-21,395.42
64,400,63,Wrong item,2025-08-11,6215.15
65,2914,250,Late delivery,Dec 04 2025,2101.23
66,2430,106,Wrong item,2025-07-19,7071.36
67,4226,292,Quality issue,30-01-2026,2289.36
68,3278,13,Wrong item,02/21/2026,266.31
69,4694,176,Wrong item,31/01/2026,155.38
70,1533,182,Late delivery,04/12/2025,3098.94
71,2024,177,Quality issue,22-02-2025,15123.24
72,3111,18,Customer changed mind,09-11-2025,40417.22
73,1944,93,Customer changed mind,03/19/2026,202.21
74,3488,128,Late delivery,10-06-2025,92.06
75,2233,28,Late delivery,07/31/2025,2058.68
76,4720,280,Late delivery,24-06-2025,382.74
77,3075,280,Damaged product,Oct 21 2025,761.9
78,2331,123,Customer changed mind,2025-03-22,854.57
79,1399,194,Late delivery,15-02-2026,37158.95
80,378,189,Late delivery,04/03/2026,611.04
81,1929,148,Quality issue,01/07/2026,914.77
82,5000,171,Wrong item,Oct 05 2025,570.85
83,979,235,Quality issue,2025-04-28,378.4
84,1885,31,Damaged product,04-02-2025,214.6
85,2889,77,Late delivery,10/13/2025,127.22
86,788,274,Late delivery,2026-05-09,40213.97
87,4372,165,Damaged product,2026-01-08,413.02
88,3199,171,Customer changed mind,26/08/2025,487.95
89,3011,137,Wrong item,08/28/2025,2864.21
90,2388,119,Customer changed mind,08/01/2025,160.61
91,1479,53,Late delivery,04/30/2026,2398.45
92,2400,275,Customer changed mind,09-08-2025,6542.68
93,1410,49,Wrong item,01/03/2025,7216.46
94,1262,285,Late delivery,02/08/2026,615.24
95,1292,47,Damaged product,22/07/2025,140.9
96,1189,213,Customer changed mind,2025-02-15,693.99
97,3762,27,Quality issue,2026-02-01,173.02
98,3728,16,Damaged product,12/29/2025,88.42
99,4191,5,Damaged product,Jan 12 2026,433.66
100,1928,106,Late delivery,Jul 02 2025,8675.75
101,2429,183,Wrong item,29/11/2025,906.83
102,2666,265,Late delivery,04/18/2026,1547.71
103,3908,295,Customer changed mind,03-05-2025,1046.2
104,198,193,Damaged product,Jan 25 2025,19387.08
105,1245,40,Late delivery,08/09/2025,3503.75
106,1312,223,Late delivery,30-06-2025,139.04
107,3607,44,Damaged product,02/13/2025,1636.13
108,3652,212,Late delivery,Mar 09 2026,12809.79
109,3684,80,Late delivery,2025-09-20,231.08
110,1938,92,Wrong item,04/23/2025,160.84
111,1025,169,Damaged product,25-01-2026,504.85
112,886,200,Late delivery,12/25/2025,0
113,706,69,Quality issue,05/09/2025,373.94
114,732,145,Late delivery,2025-09-19,16621.11
115,4314,187,Quality issue,03/04/2025,221.27
116,4258,300,Quality issue,26/06/2025,64.39
117,3985,150,Late delivery,02/19/2025,1437.76
118,612,15,Late delivery,24-05-2026,256.92
119,4180,92,Wrong item,19/04/2025,343.55
120,1443,181,Wrong item,07/31/2025,2082.04
121,1276,6,Customer changed mind,2025-01-18,3916.16
122,702,227,Late delivery,14-01-2025,6877.2
123,4632,263,Late delivery,Feb 19 2025,874.44
124,3998,284,Customer changed mind,2026-01-06,362.98
125,1465,190,Late delivery,Jul 22 2025,126.62
126,1355,266,Wrong item,13/04/2025,4327.82
127,2016,122,Wrong item,02/28/2025,0.0
128,1159,120,Customer changed mind,02/10/2026,247.14
129,939,280,Wrong item,05/11/2026,2099.32
130,2749,94,Quality issue,Jan 11 2026,295.46
131,254,146,Wrong item,22-05-2026,49959.4
132,4395,292,Customer changed mind,20-07-2025,4849.45
133,4119,74,Customer changed mind,09-08-2025,746.76
134,3031,136,Wrong item,01/20/2026,1928.31
135,2976,222,Customer changed mind,03/06/2026,83.54
136,2769,180,Late delivery,2025-11-22,0
137,3456,11,Customer changed mind,11/13/2025,576.38
138,3924,207,Quality issue,01/24/2026,51.19
139,1039,39,Damaged product,2025-09-14,2015.82
140,3268,132,Damaged product,09-05-2025,14443.95
141,1514,215,Quality issue,Jan 31 2025,336.12
142,4037,136,Customer changed mind,23/02/2026,698.3
143,97,58,Wrong item,02/12/2025,3401.0
144,2434,205,Damaged product,16/01/2026,185.47
145,824,17,Quality issue,09/01/2026,20841.06
146,271,26,Damaged product,2025-08-09,916.93
147,980,38,Late delivery,06/11/2025,681.87
148,3445,112,Wrong item,10/04/2026,34.22
149,755,181,Quality issue,12/07/2025,469.58
150,2332,165,Wrong item,29/03/2026,369.44
151,397,184,Damaged product,2025-05-24,4270.16
152,1807,167,Wrong item,04/15/2025,870.95
153,4782,60,Wrong item,2025-07-05,381.74
154,3183,256,Quality issue,2025-06-09,37.65
155,3650,278,Quality issue,05-04-2025,5708.0
156,280,137,Damaged product,2026-01-10,2115.99
157,655,92,Quality issue,30-11-2025,168.15
158,79,109,Late delivery,20/05/2025,203.1
159,3751,64,Wrong item,2025-04-07,52.77
160,4961,156,Quality issue,Aug 02 2025,814.8
161,2276,271,Wrong item,17/01/2026,161.9
162,4168,150,Customer changed mind,Feb 07 2025,1785.12
163,3424,111,Customer changed mind,Sep 21 2025,97.67
164,3345,35,Quality issue,17/06/2025,1760.81
165,4039,155,Wrong item,20-08-2025,388.61
166,1889,22,Late delivery,05/10/2025,1942.1
167,2972,134,Damaged product,Jan 01 2026,511.74
168,633,300,Customer changed mind,13/04/2026,56.82
169,519,163,Damaged product,Sep 17 2025,2005.21
170,713,39,Late delivery,04/11/2026,401.53
171,4485,199,Late delivery,10/03/2025,1135.91
172,4695,37,Late delivery,09/26/2025,887.75
173,4799,245,Damaged product,14-04-2025,1966.66
174,689,186,Damaged product,05-04-2026,0
175,2477,59,Late delivery,14/07/2025,180.83
176,3818,273,Customer changed mind,31/05/2025,21061.35
177,2404,43,Customer changed mind,2025-05-26,397.07
178,3284,228,Late delivery,Dec 19 2025,11671.14
179,3107,17,Damaged product,04/03/2025,14301.7
180,1193,93,Wrong item,Apr 13 2026,162.4
181,4732,165,Quality issue,03/12/2025,101.12
182,4956,283,Damaged product,17/06/2025,184.32
183,922,19,Quality issue,25-04-2026,7147.8
184,3744,264,Damaged product,May 07 2026,3769.4
185,4504,233,Late delivery,Jun 18 2025,683.64
186,1577,41,Wrong item,15/06/2025,2443.28
187,671,199,Quality issue,07-08-2025,1586.69
188,2698,112,Quality issue,Feb 12 2025,36.7
189,650,108,Wrong item,Feb 08 2025,1334.2
190,1204,69,Wrong item,Sep 24 2025,337.68
191,1146,91,Customer changed mind,Feb 05 2025,60.54
192,3030,89,Damaged product,03-03-2026,1826.04
193,45,131,Late delivery,07-11-2025,3909.38
194,1306,148,Quality issue,2026-05-25,4360.4
195,2811,188,Late delivery,24/08/2025,351.12
196,3703,157,Customer changed mind,2025-09-29,141.8
197,4557,61,Quality issue,2025-09-20,78.48
198,1186,62,Late delivery,04/29/2026,92.44
199,3973,229,Wrong item,Mar 25 2026,897.7
200,2197,270,Customer changed mind,01/13/2025,317.52
201,190,128,Wrong item,09-02-2026,98.32
202,1839,34,Quality issue,28/07/2025,4438.41
203,214,267,Quality issue,Jan 21 2026,313.96
204,3842,222,Customer changed mind,06/07/2025,82.55
205,965,152,Wrong item,Aug 30 2025,1512.83
206,2868,83,Damaged product,2025-12-30,2653.6
207,3185,42,Wrong item,19/12/2025,9093.01
208,225,281,Customer changed mind,12/05/2025,540.22
209,3137,185,Damaged product,Mar 15 2025,3353.3
210,3343,96,Damaged product,2026-04-04,212.43
211,4751,1,Wrong item,17-04-2025,10724.01
212,1526,17,Wrong item,29/04/2025,31094.45
213,2639,268,Damaged product,Sep 25 2025,374.14
214,4141,139,Late delivery,2026-02-19,784.78
215,3733,205,Wrong item,03/29/2026,329.73
216,4780,234,Customer changed mind,Jul 04 2025,3280.58
217,3680,86,Damaged product,07/02/2025,1260.19
218,580,67,Customer changed mind,02/14/2026,7005.47
219,3372,225,Wrong item,2025-11-07,27475.37
220,111,14,Damaged product,05-03-2026,59.7
221,403,282,Customer changed mind,2025-08-06,4991.9
222,4304,39,Damaged product,27-03-2025,889.73
223,60,207,Quality issue,Mar 22 2025,131.71
224,3144,47,Wrong item,Dec 07 2025,261.3
225,4589,6,Quality issue,2025-10-29,4412.78
226,2648,114,Customer changed mind,04/12/2026,0
227,1977,129,Quality issue,17/04/2025,29236.44
228,217,137,Late delivery,16/01/2026,5116.32
229,3581,66,Damaged product,2025-08-27,58587.1
230,3913,129,Quality issue,19/05/2026,7688.7
231,3929,230,Late delivery,Nov 10 2025,332954.43
232,4183,197,Damaged product,2025-03-04,4351.45
233,1548,178,Customer changed mind,Aug 02 2025,47245.21
234,3660,21,Late delivery,01/07/2025,533.25
235,2714,297,Quality issue,May 12 2026,896.31
236,2945,288,Damaged product,02/24/2026,227.93
237,1534,172,Damaged product,29-03-2025,823.84
238,4241,50,Quality issue,07/14/2025,30152.89
239,3559,213,Customer changed mind,2025-03-18,1249.36
240,104,125,Wrong item,2025-05-03,1096.54
241,3481,253,Quality issue,Dec 14 2025,80.94
242,1335,54,Damaged product,2025-09-10,714.76
243,4887,142,Late delivery,26/12/2025,158.36
244,2308,294,Quality issue,24/01/2025,1778.62
245,4075,10,Customer changed mind,2025-08-24,6098.62
246,1290,225,Wrong item,05/15/2025,17598.98
247,2306,145,Quality issue,2026-03-18,11262.06
248,905,194,Damaged product,04/10/2025,29264.44
249,2345,179,Damaged product,Mar 03 2025,708.82
250,2020,17,Late delivery,15/01/2025,23207.49
251,352,186,Damaged product,20-01-2026,1266.21
252,3513,179,Quality issue,2025-06-19,328.84
253,4885,42,Damaged product,Jun 03 2025,8508.96
254,1907,250,Customer changed mind,Apr 06 2026,1063.38
255,795,296,Quality issue,17/02/2025,1269.5
256,414,214,Quality issue,05/02/2026,385.51
257,1226,67,Wrong item,12/03/2025,6919.13
258,498,108,Late delivery,Jun 03 2025,1924.34
259,1407,287,Wrong item,Mar 03 2025,48.5
260,3846,176,Damaged product,19-04-2025,209.7
261,2584,122,Wrong item,17-06-2025,1140.33
262,924,72,Damaged product,2025-02-27,1402.56
263,1677,120,Damaged product,2025-01-26,600.33
264,4918,206,Quality issue,16/03/2026,250.03
265,4631,169,Wrong item,May 06 2026,6132.49
266,1692,60,Wrong item,05/09/2025,310.2
267,3854,190,Quality issue,23/04/2026,72.08
268,4641,150,Wrong item,27/02/2025,838.2
269,3802,57,Quality issue,May 08 2026,583.65
270,3960,224,Customer changed mind,07/29/2025,14.88
271,4576,238,Damaged product,Mar 08 2026,131.63
272,4140,127,Quality issue,Jun 11 2025,85.2
273,1194,259,Quality issue,07/21/2025,1022.76
274,1387,244,Customer changed mind,Oct 18 2025,3411.91
275,4013,128,Quality issue,04/24/2026,311.79
276,1821,170,Wrong item,28-05-2025,1181.02
277,1995,57,Wrong item,03/19/2026,429.55
278,3194,104,Customer changed mind,21/04/2026,4699.28
279,3882,278,Customer changed mind,02/08/2025,1262.48
280,3828,90,Wrong item,Apr 24 2026,1553.94
281,2052,145,Quality issue,07/09/2025,8903.41
282,4350,215,Quality issue,08-08-2025,240.74
283,1066,255,Wrong item,13/06/2025,94.05
284,2993,239,Customer changed mind,2025-10-22,294.64
285,311,245,Damaged product,30-09-2025,666.87
286,3442,191,Quality issue,2026-04-01,51.44
287,216,266,Late delivery,2025-10-31,6014.01
288,1988,10,Quality issue,05-09-2025,10523.15
289,3077,279,Late delivery,31/08/2025,1806.0
290,538,61,Late delivery,01/07/2025,177.19
291,2766,154,Quality issue,04/13/2025,2924.17
292,3847,196,Quality issue,2025-11-25,2142.94
293,4511,111,Damaged product,19-03-2026,22.46
294,1468,141,Damaged product,10-05-2026,761.25
295,2252,280,Customer changed mind,02/07/2025,1978.11
296,423,43,Wrong item,10/15/2025,67.95
297,2393,100,Damaged product,12/05/2025,7302.72
298,521,167,Quality issue,2025-07-16,874.57
299,2988,223,Late delivery,14/02/2025,86.3
300,4319,280,Late delivery,11/01/2025,1337.28
301,2182,289,Late delivery,09/10/2025,13343.44
302,3433,89,Customer changed mind,11-10-2025,1009.09
303,2305,229,Wrong item,06/05/2025,1057.78
304,1482,9,Damaged product,2025-10-21,1026.91
305,475,198,Damaged product,Mar 03 2025,2183.65
306,2978,295,Customer changed mind,Feb 13 2026,1090.72
307,4261,251,Quality issue,03/04/2025,683.88
308,4091,156,Late delivery,05/04/2026,1302.24
309,1691,292,Quality issue,2025-11-29,1072.79
310,3415,71,Quality issue,15-03-2025,658.0
311,80,293,Late delivery,10/05/2026,145.74
312,2509,17,Late delivery,2025-01-11,6235.01
313,2819,20,Late delivery,04-03-2026,3225.68
314,4671,63,Quality issue,2025-06-29,2118.42
315,1546,159,Late delivery,2025-02-12,133.6
316,1876,162,Damaged product,2025-08-03,35149.02
317,1086,236,Customer changed mind,03-07-2025,132.1
318,3178,5,Late delivery,2025-07-05,1167.7
319,2270,225,Quality issue,29-03-2026,24386.87
320,2631,270,Quality issue,07-03-2026,487.47
321,1764,122,Quality issue,15/08/2025,0
322,4431,97,Quality issue,17/02/2025,0
323,4826,171,Quality issue,2025-04-30,604.68
324,3341,73,Late delivery,24/08/2025,498.22
325,1199,156,Late delivery,Oct 10 2025,0.0
326,1240,284,Late delivery,08/19/2025,105.53
327,507,181,Wrong item,2025-03-26,2143.8
328,1343,89,Quality issue,11/24/2025,2464.47
329,4340,31,Damaged product,02/07/2026,106.33
330,3558,178,Customer changed mind,2025-07-18,62854.15
331,156,289,Wrong item,2025-11-27,7298.05
332,2288,182,Damaged product,04/04/2025,3282.64
333,1897,194,Damaged product,25/05/2025,69466.09
334,3063,250,Damaged product,11/19/2025,5529.16
335,2872,284,Damaged product,2025-08-07,0.0
336,3386,228,Wrong item,09-06-2025,8354.06
337,3896,298,Damaged product,2026-03-13,235.57
338,3435,25,Late delivery,Mar 13 2026,1160.61
339,4930,226,Late delivery,18-01-2026,22821.97
340,4086,250,Damaged product,2025-05-10,3614.28
341,2254,63,Damaged product,2025-12-13,2712.11
342,1337,86,Customer changed mind,05/24/2025,5180.58
343,931,163,Damaged product,27-01-2026,1918.82
344,42,262,Quality issue,14-01-2025,820.0
345,2340,231,Quality issue,Mar 13 2026,273896.14
346,4307,5,Customer changed mind,2026-03-23,940.44
347,4481,243,Damaged product,10/07/2025,2126.62
348,2449,210,Late delivery,09/10/2025,45783.12
349,1607,38,Wrong item,12/01/2025,1333.02
350,2017,71,Late delivery,04/06/2025,146.74
351,2849,227,Quality issue,Mar 30 2025,1122.72
352,4880,6,Late delivery,May 02 2026,5533.98
353,1786,180,Wrong item,2025-02-14,8316.14
354,2072,56,Quality issue,Apr 22 2025,2937.84
355,1730,149,Quality issue,Oct 02 2025,0.0
356,4676,232,Customer changed mind,Jun 17 2025,6125.48
357,2055,159,Late delivery,Apr 14 2026,133.89
358,3381,126,Customer changed mind,2025-03-18,21.88
359,1202,47,Wrong item,12/17/2025,102.2
360,4952,67,Wrong item,22-08-2025,4461.19
361,229,73,Late delivery,28/01/2025,477.9
362,3671,205,Wrong item,2025-09-16,859.1
363,4627,224,Quality issue,Dec 20 2025,71.73
364,1058,122,Customer changed mind,17/09/2025,6201.05
365,4640,45,Damaged product,16/09/2025,781.36
366,196,87,Wrong item,2026-03-21,1392.28
367,1229,161,Quality issue,02/27/2025,21580.79
368,4708,273,Customer changed mind,28/01/2026,4482.07
369,3836,250,Quality issue,23/03/2026,4298.98
370,36,271,Wrong item,Aug 17 2025,224.1
371,3630,269,Damaged product,11/12/2025,90.07
372,3895,140,Wrong item,2025-05-12,550.37
373,11,40,Customer changed mind,2025-10-28,4707.47
374,1751,35,Wrong item,01/26/2026,3511.35
375,502,261,Customer changed mind,2025-11-10,729.35
376,1502,103,Customer changed mind,10-07-2025,1642.75
377,2374,53,Wrong item,01-04-2025,1456.87
378,2492,280,Damaged product,Mar 26 2026,457.16
379,1717,45,Customer changed mind,08/31/2025,328.0
380,4406,245,Quality issue,2025-04-28,555.5
381,4354,151,Damaged product,2025-03-07,1084.52
382,1569,102,Wrong item,2025-04-09,5624.11
383,3120,152,Late delivery,28-08-2025,2023.15
384,2406,4,Wrong item,08-11-2025,9538.44
385,366,144,Damaged product,10/04/2026,173.04
386,3328,176,Wrong item,2026-03-30,125.6
387,4820,123,Quality issue,2026-03-04,799.45
388,4050,56,Customer changed mind,08/01/2025,4403.68
389,1173,268,Wrong item,2025-01-06,1693.76
390,3384,176,Damaged product,Oct 14 2025,41.76
391,448,54,Customer changed mind,20-07-2025,2150.46
392,346,236,Wrong item,2025-03-11,462951.42
393,259,130,Late delivery,2025-02-20,43232.15
394,1203,257,Damaged product,2025-04-24,3754.58
395,3580,179,Damaged product,16-05-2025,1609.79
396,1588,184,Quality issue,18-12-2025,1023.56
397,997,221,Quality issue,16-05-2026,300.51
398,2133,35,Late delivery,24-08-2025,2592.74
399,2791,253,Wrong item,22-02-2026,178.18
400,1822,190,Customer changed mind,02/20/2025,195.48
401,2446,233,Wrong item,14-12-2025,511.35
402,2300,144,Quality issue,08/29/2025,48.87
403,2471,18,Customer changed mind,Nov 02 2025,72957.77
404,2562,242,Wrong item,03/01/2025,11076.74
405,2420,270,Damaged product,2025-08-27,488.97
406,2697,55,Quality issue,18/04/2026,458.83
407,2793,293,Customer changed mind,2026-01-11,668.18
408,845,6,Wrong item,2026-03-13,1314.44
409,192,9,Late delivery,14-02-2026,1248.52
410,1113,49,Late delivery,31/01/2025,8292.87
411,4480,249,Late delivery,08/01/2025,1448.5
412,1530,214,Wrong item,13-02-2026,1379.31
413,2744,2,Late delivery,Mar 25 2026,26715.67
414,4547,63,Quality issue,May 15 2026,3900.08
415,4078,111,Quality issue,Apr 27 2025,39.47
416,3702,60,Damaged product,12-05-2026,161.41
417,2094,119,Wrong item,12-12-2025,274.68
418,715,238,Late delivery,12/21/2025,120.66
419,3027,211,Wrong item,Mar 10 2026,2634.15
420,4306,76,Quality issue,13-01-2025,996.93
421,373,202,Damaged product,05/09/2025,5867.42
422,1000,283,Damaged product,05/05/2025,766.73
423,1048,258,Customer changed mind,02-05-2025,53896.34
424,3781,70,Wrong item,2026-01-03,3197.15
425,456,158,Customer changed mind,03/17/2026,133.78
426,4345,264,Damaged product,03/18/2026,4183.12
427,4344,129,Customer changed mind,10/04/2025,31685.32
428,2624,44,Late delivery,01/26/2025,2084.5
429,4841,186,Wrong item,04/08/2025,6002.94
430,1886,103,Customer changed mind,Mar 11 2026,1598.87
431,2418,289,Customer changed mind,2025-07-21,10522.82
432,942,71,Quality issue,01-09-2025,171.73
433,1979,285,Late delivery,2025-08-04,607.45
434,4443,189,Late delivery,Oct 10 2025,672.15
435,4333,72,Late delivery,16-06-2025,627.68
436,947,226,Quality issue,2025-11-28,11822.31
437,1034,52,Quality issue,03/17/2025,5333.96
438,2416,190,Damaged product,May 04 2026,325.63
439,3212,146,Customer changed mind,27-04-2025,51853.89
440,4840,137,Quality issue,17/05/2025,1203.5
441,1549,104,Quality issue,26-02-2026,2453.83
442,129,114,Late delivery,20-11-2025,37643.74
443,885,42,Damaged product,04/12/2025,2080.44
444,1381,49,Damaged product,Apr 29 2026,5190.22
445,478,125,Customer changed mind,22/02/2025,215.49
446,416,239,Quality issue,24-01-2025,307.88
447,1021,244,Damaged product,Aug 02 2025,5934.24
448,3807,249,Damaged product,Feb 12 2025,2448.27
449,3928,68,Damaged product,Feb 21 2026,2422.29
450,3989,87,Quality issue,17/03/2025,1083.82
451,1432,21,Quality issue,29-03-2026,109.34
452,2801,255,Damaged product,27/09/2025,100.69
453,4112,143,Quality issue,29-11-2025,108.32
454,4014,254,Late delivery,07-08-2025,236.22
455,3784,160,Damaged product,2025-05-05,203.22
456,1767,62,Damaged product,31-08-2025,124.77
457,525,16,Customer changed mind,2025-10-23,167.54
458,3252,209,Customer changed mind,02/01/2026,21971.36
459,4322,227,Damaged product,01-12-2025,2047.14
460,3759,78,Customer changed mind,01/23/2026,195.07
461,536,145,Quality issue,Feb 22 2025,9973.16
462,3721,152,Wrong item,03/11/2025,813.32
463,3602,1,Customer changed mind,2025-02-01,28419.04
464,1004,76,Customer changed mind,08/09/2025,1586.53
465,3086,159,Customer changed mind,Feb 21 2025,44.13
466,1439,223,Late delivery,2025-03-01,107.23
467,488,18,Damaged product,07/09/2025,25110.78
468,1340,263,Customer changed mind,01/07/2025,1123.29
469,935,274,Late delivery,Nov 23 2025,40843.49
470,1584,75,Wrong item,28/11/2025,406.18
471,2775,146,Customer changed mind,09/01/2026,67675.48
472,2090,32,Quality issue,15/01/2026,184.11
473,2994,52,Customer changed mind,27-03-2025,1155.55
474,3953,209,Wrong item,08/12/2025,502854.69
475,2269,252,Quality issue,Jul 18 2025,1112.77
476,4810,51,Quality issue,May 03 2026,2711.42
477,1814,221,Wrong item,26-04-2026,203.29
478,3255,97,Damaged product,24-04-2026,5248.91
479,184,144,Quality issue,Apr 26 2025,59.14
480,4883,162,Late delivery,26/09/2025,31699.79
481,3914,164,Late delivery,Sep 15 2025,7754.87
482,3859,142,Customer changed mind,Mar 11 2025,118.05
483,2529,86,Late delivery,16/02/2026,6842.55
484,3450,24,Damaged product,Apr 27 2025,3682.08
485,1185,299,Wrong item,03/10/2025,842.29
486,4088,36,Damaged product,Feb 14 2025,7413.48
487,3474,281,Late delivery,Feb 22 2025,3305.7
488,1178,79,Wrong item,31-12-2025,221.76
489,3808,143,Quality issue,08/24/2025,146.72
490,4150,147,Late delivery,Mar 21 2026,6635.89
491,1916,287,Quality issue,07/13/2025,0.0
492,3496,265,Customer changed mind,Sep 08 2025,4520.59
493,841,227,Customer changed mind,Jan 11 2025,1445.45
494,4363,226,Wrong item,2025-09-30,53388.48
495,3743,1,Quality issue,21/06/2025,29504.48
496,957,6,Customer changed mind,11-02-2025,6452.14
497,3512,205,Wrong item,15/01/2025,173.75
498,1373,14,Quality issue,12/17/2025,257.16
499,1679,98,Quality issue,04/04/2026,23560.62
500,4858,139,Damaged product,25-07-2025,396.76
501,1140,172,Customer changed mind,2026-02-06,662.61
502,3418,86,Late delivery,2026-04-01,3770.36
503,4444,239,Wrong item,Mar 15 2026,262.48
504,3335,138,Damaged product,2025-07-08,186898.44
505,1028,118,Wrong item,16-06-2025,2745.59
506,3072,126,Wrong item,24-03-2026,38.7
507,3966,93,Customer changed mind,Feb 07 2026,165.0
508,2379,196,Quality issue,2025-06-18,3225.04
509,4495,76,Customer changed mind,06/06/2025,618.57
510,1212,151,Quality issue,Sep 04 2025,510.06
511,3434,17,Customer changed mind,28/07/2025,12624.62
512,562,121,Wrong item,12/02/2026,711.39
513,1940,169,Late delivery,2025-06-09,1194.0
514,4092,31,Wrong item,19-01-2025,82.69
515,3308,23,Wrong item,2025-10-31,1020.64
516,2933,101,Wrong item,2026-03-03,2024.3
517,351,295,Quality issue,2026-01-10,1034.25
518,2772,113,Wrong item,2025-01-26,6547.04
519,3160,288,Damaged product,12/03/2025,311.56
520,4177,103,Customer changed mind,11/08/2025,774.1
521,4435,245,Customer changed mind,12/27/2025,1941.23
522,4682,74,Wrong item,11/20/2025,1918.05
523,1403,258,Damaged product,2025-09-24,63611.96
524,4813,37,Late delivery,2025-04-16,310.65
525,3275,139,Quality issue,15-08-2025,607.92
526,4551,121,Late delivery,10-05-2025,1585.04
527,2953,64,Customer changed mind,06/09/2025,92.65
528,435,24,Wrong item,2026-01-12,4350.05
529,1477,295,Customer changed mind,09/14/2025,808.32
530,3089,289,Customer changed mind,05/13/2026,3676.97
531,203,88,Wrong item,11-06-2025,3956.65
532,1948,266,Customer changed mind,02/08/2025,8202.6
533,2402,254,Late delivery,Jul 30 2025,147.97
534,2659,63,Customer changed mind,2026-03-31,283.1
535,2078,110,Damaged product,2026-01-27,322.25
536,2124,30,Late delivery,2025-03-09,267.25
537,4081,55,Damaged product,Nov 26 2025,465.16
538,1570,290,Wrong item,2026-05-02,23347.98
539,2930,111,Late delivery,05/07/2025,69.45
540,4294,110,Wrong item,2025-02-26,162.16
541,1141,190,Wrong item,28/03/2025,328.28
542,1455,128,Customer changed mind,18/09/2025,81.29
543,3885,217,Customer changed mind,Mar 24 2026,5295.93
544,356,218,Quality issue,03/11/2025,3958.52
545,3792,108,Wrong item,12/31/2025,1166.45
546,3712,47,Damaged product,20-01-2026,213.88
547,921,289,Quality issue,Feb 12 2025,15420.28
548,2282,145,Wrong item,15/10/2025,25799.3
549,4550,10,Wrong item,02/16/2025,5704.29
550,2938,148,Quality issue,15-12-2025,1597.62
551,4977,143,Wrong item,09/04/2025,65.2
552,711,89,Wrong item,May 07 2026,515.66
553,812,251,Late delivery,19/05/2025,461.02
554,2605,17,Wrong item,Oct 24 2025,21148.8
555,3917,102,Damaged product,Mar 07 2025,4909.52
556,3833,2,Customer changed mind,10-05-2025,30184.63
557,3610,231,Wrong item,30/04/2025,1821.85
