table_name,record_id,issue_type,action,details
order_items,2277,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2311,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2349,invalid_quantity,removed,Quantité <= 0.
order_items,2367,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2394,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2412,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2429,invalid_quantity,removed,Quantité <= 0.
order_items,2440,invalid_quantity,removed,Quantité <= 0.
order_items,2445,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2457,invalid_quantity,removed,Quantité <= 0.
order_items,2538,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2544,invalid_quantity,removed,Quantité <= 0.
order_items,2615,invalid_quantity,removed,Quantité <= 0.
order_items,2641,invalid_quantity,removed,Quantité <= 0.
order_items,2649,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2675,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2720,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2749,invalid_quantity,removed,Quantité <= 0.
order_items,2766,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2802,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2836,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2846,invalid_quantity,removed,Quantité <= 0.
order_items,2882,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2883,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2903,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,2916,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3049,invalid_quantity,removed,Quantité <= 0.
order_items,3106,invalid_quantity,removed,Quantité <= 0.
order_items,3108,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3111,invalid_quantity,removed,Quantité <= 0.
order_items,3244,invalid_quantity,removed,Quantité <= 0.
order_items,3258,invalid_quantity,removed,Quantité <= 0.
order_items,3308,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3317,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3323,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3328,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3335,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3376,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3383,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3456,invalid_quantity,removed,Quantité <= 0.
order_items,3461,invalid_quantity,removed,Quantité <= 0.
order_items,3492,invalid_quantity,removed,Quantité <= 0.
order_items,3499,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3503,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3511,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3594,invalid_quantity,removed,Quantité <= 0.
order_items,3668,invalid_quantity,removed,Quantité <= 0.
order_items,3673,invalid_quantity,removed,Quantité <= 0.
order_items,3718,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3758,invalid_quantity,removed,Quantité <= 0.
order_items,3785,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3792,invalid_quantity,removed,Quantité <= 0.
order_items,3829,invalid_quantity,removed,Quantité <= 0.
order_items,3837,invalid_quantity,removed,Quantité <= 0.
order_items,3921,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3992,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,3997,invalid_quantity,removed,Quantité <= 0.
order_items,3998,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4002,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4012,invalid_quantity,removed,Quantité <= 0.
order_items,4032,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4050,invalid_quantity,removed,Quantité <= 0.
order_items,4053,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4080,invalid_quantity,removed,Quantité <= 0.
order_items,4081,invalid_quantity,removed,Quantité <= 0.
order_items,4114,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4115,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4124,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4131,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4142,invalid_quantity,removed,Quantité <= 0.
order_items,4154,invalid_quantity,removed,Quantité <= 0.
order_items,4188,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4205,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4235,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4243,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4268,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4275,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4276,invalid_quantity,removed,Quantité <= 0.
order_items,4296,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4318,invalid_quantity,removed,Quantité <= 0.
order_items,4319,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4381,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4401,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4405,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4411,invalid_quantity,removed,Quantité <= 0.
order_items,4419,invalid_quantity,removed,Quantité <= 0.
order_items,4426,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4445,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4448,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4463,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4480,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4568,invalid_quantity,removed,Quantité <= 0.
order_items,4569,invalid_quantity,removed,Quantité <= 0.
order_items,4598,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4658,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4666,invalid_quantity,removed,Quantité <= 0.
order_items,4677,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4709,invalid_quantity,removed,Quantité <= 0.
order_items,4742,invalid_quantity,removed,Quantité <= 0.
order_items,4754,invalid_quantity,removed,Quantité <= 0.
order_items,4800,invalid_quantity,removed,Quantité <= 0.
order_items,4834,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4840,invalid_quantity,removed,Quantité <= 0.
order_items,4859,invalid_quantity,removed,Quantité <= 0.
order_items,4864,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4868,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,4974,invalid_quantity,removed,Quantité <= 0.
order_items,4975,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5116,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5129,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5135,invalid_quantity,removed,Quantité <= 0.
order_items,5143,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5178,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5206,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5207,invalid_quantity,removed,Quantité <= 0.
order_items,5225,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5229,invalid_quantity,removed,Quantité <= 0.
order_items,5254,invalid_quantity,removed,Quantité <= 0.
order_items,5269,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5271,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5274,invalid_quantity,removed,Quantité <= 0.
order_items,5348,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5351,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5361,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5394,invalid_quantity,removed,Quantité <= 0.
order_items,5402,invalid_quantity,removed,Quantité <= 0.
order_items,5417,invalid_quantity,removed,Quantité <= 0.
order_items,5418,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5441,invalid_quantity,removed,Quantité <= 0.
order_items,5492,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5532,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5554,invalid_quantity,removed,Quantité <= 0.
order_items,5563,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5613,invalid_quantity,removed,Quantité <= 0.
order_items,5617,invalid_quantity,removed,Quantité <= 0.
order_items,5637,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5661,invalid_quantity,removed,Quantité <= 0.
order_items,5667,invalid_quantity,removed,Quantité <= 0.
order_items,5734,invalid_quantity,removed,Quantité <= 0.
order_items,5741,invalid_quantity,removed,Quantité <= 0.
order_items,5795,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5810,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5824,invalid_quantity,removed,Quantité <= 0.
order_items,5894,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,5955,invalid_quantity,removed,Quantité <= 0.
order_items,5984,invalid_quantity,removed,Quantité <= 0.
order_items,6017,invalid_quantity,removed,Quantité <= 0.
order_items,6036,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6064,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6069,invalid_quantity,removed,Quantité <= 0.
order_items,6072,invalid_quantity,removed,Quantité <= 0.
order_items,6084,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6131,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6145,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6157,invalid_quantity,removed,Quantité <= 0.
order_items,6170,invalid_quantity,removed,Quantité <= 0.
order_items,6173,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6194,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6197,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6216,invalid_quantity,removed,Quantité <= 0.
order_items,6219,invalid_quantity,removed,Quantité <= 0.
order_items,6228,invalid_quantity,removed,Quantité <= 0.
order_items,6245,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6276,invalid_quantity,removed,Quantité <= 0.
order_items,6310,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6322,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6325,invalid_unit_price,removed,Prix unitaire négatif ou aberrant isolé.
order_items,6334,invalid_quantity,removed,Quantité <= 0.
order_items,6359,invalid_quantity,removed,Quantité <= 0.
order_items,6365,invalid_quantity,removed,Quantité <= 0.
