sales_key,order_id,order_item_id,customer_key,product_key,date_key,region_key,payment_key,delivery_key,quantity,unit_price,discount_rate,total_amount,amount_paid,is_returned,refund_amount,delivery_delay_days,order_status,return_reason
25,16,26,235,179,20250709,6,10,73,5,350.18,0.2,1400.72,1400.72,0,0.0,121,completed,
26,17,27,850,97,20260219,3,10,147,1,5667.65,0.03,5497.62,5497.62,0,0.0,9,completed,
27,18,28,813,131,20260301,10,2,77,2,1041.16,0.05,1978.2,1978.2,0,0.0,11,pending,
28,18,29,813,202,20260301,10,2,77,4,2180.49,0.0,8721.96,8721.96,0,0.0,11,pending,
29,18,30,813,226,20260301,10,2,77,3,13952.35,0.1,37671.35,37671.34,0,0.0,11,pending,
30,18,31,813,61,20260301,10,2,77,5,107.94,0.15,458.75,458.75,0,0.0,11,pending,
31,19,33,665,217,20251227,3,10,70,5,1316.03,0.15,5593.13,5593.13,0,0.0,4,completed,
32,20,34,388,173,20251206,12,2,138,5,218.04,0.1,981.18,981.18,0,0.0,7,completed,
33,21,35,104,169,20250715,5,10,46,1,883.87,0.03,857.35,857.35,0,0.0,9,pending,
34,22,36,305,53,20250303,10,17,230,2,826.9,0.2,1323.04,0.0,0,0.0,,cancelled,
35,23,37,925,242,20250105,12,6,138,1,15376.45,0.05,14607.63,14607.63,0,0.0,177,completed,
36,24,38,688,183,20260704,3,2,70,5,352.61,0.0,1763.05,0.0,0,0.0,34,cancelled,
37,24,39,688,42,20260704,3,2,70,3,2256.83,0.2,5416.39,0.0,0,0.0,34,cancelled,
38,25,40,418,166,20250224,11,1,174,3,647.05,0.03,1882.92,0.0,0,0.0,3,cancelled,
39,25,41,418,166,20250224,11,1,174,5,716.15,0.15,3043.64,0.0,0,0.0,3,cancelled,
40,25,42,418,229,20250224,11,1,174,4,349.05,0.2,1116.96,0.0,0,0.0,3,cancelled,
41,25,43,418,19,20250224,11,1,174,3,2142.21,0.2,5141.3,0.0,0,0.0,3,cancelled,
42,26,44,954,238,20260425,1,16,31,5,150.63,0.15,640.18,0.0,0,0.0,7,completed,
43,27,45,308,197,20260401,4,2,148,1,908.6,0.03,881.34,881.34,0,0.0,125,completed,
44,28,46,854,157,20250510,11,6,117,2,71.22,0.0,142.44,12481.51,0,0.0,4,completed,
45,28,48,854,99,20250510,11,6,117,1,1548.94,0.2,1239.15,108582.33,0,0.0,4,completed,
46,29,49,408,284,20250807,12,7,98,4,108.94,0.0,435.76,0.0,0,0.0,9,returned,
47,29,50,408,244,20250807,12,7,98,2,1677.09,0.05,3186.47,0.0,0,0.0,9,returned,
48,30,52,629,227,20250912,6,5,73,2,2264.61,0.03,4393.34,0.0,0,0.0,6,completed,
49,31,53,241,280,20250211,11,15,97,3,449.41,0.0,1348.23,1348.23,0,0.0,4,completed,
50,31,54,241,179,20250211,11,15,97,2,384.0,0.03,744.96,744.96,0,0.0,4,completed,
51,32,55,3,9,20250824,9,4,76,4,355.35,0.0,1421.4,853.15,0,0.0,3,completed,
52,32,56,3,125,20250824,9,4,76,1,226.14,0.15,192.22,115.37,0,0.0,3,completed,
53,33,57,421,213,20251015,7,9,151,2,681.02,0.1,1225.84,1225.84,0,0.0,10,completed,
54,34,58,236,236,20251101,4,2,181,2,77.18,0.05,146.64,0.0,1,146.64,,cancelled,Quality issue
55,35,59,103,236,20260121,3,2,70,3,76.14,0.05,217.0,217.0,0,0.0,8,completed,
56,35,60,103,255,20260121,3,2,70,5,35.59,0.2,142.36,142.36,0,0.0,8,completed,
57,36,62,369,54,20251025,11,2,155,5,720.01,0.05,3420.05,3420.05,0,0.0,5,returned,
58,36,63,369,271,20251025,11,2,155,3,83.0,0.1,224.1,224.1,1,224.1,5,returned,Wrong item
59,37,64,188,72,20251029,11,2,289,3,324.87,0.2,779.69,779.69,0,0.0,7,completed,
60,37,65,188,87,20251029,11,2,289,1,342.25,0.2,273.8,273.8,0,0.0,7,completed,
61,38,66,888,133,20250117,11,6,137,3,1010.94,0.03,2941.84,2941.84,0,0.0,6,completed,
62,38,67,888,61,20250117,11,6,137,1,105.66,0.2,84.53,84.53,0,0.0,6,completed,
63,38,68,888,102,20250117,11,6,137,3,1172.71,0.1,3166.32,3166.31,0,0.0,6,completed,
64,39,69,569,135,20250810,6,14,92,3,465.9,0.05,1327.81,1327.82,0,0.0,8,completed,
65,39,70,569,44,20250810,6,14,92,3,400.06,0.05,1140.17,1140.17,0,0.0,8,completed,
66,40,71,306,250,20251209,4,15,110,2,1338.1,0.03,2595.91,2595.91,0,0.0,4,completed,
67,40,72,306,162,20251209,4,15,110,2,18344.64,0.2,29351.42,29351.43,0,0.0,4,completed,
68,40,73,306,26,20251209,4,15,110,4,1034.98,0.0,4139.92,4139.92,0,0.0,4,completed,
69,41,74,419,229,20250204,3,15,264,5,398.59,0.03,1933.16,1933.16,0,0.0,61,completed,
70,41,75,419,102,20250204,3,15,264,4,1267.81,0.15,4310.55,4310.56,0,0.0,61,completed,
71,42,76,332,262,20260516,3,2,89,1,820.0,0.0,820.0,820.0,1,820.0,5,completed,Quality issue
72,43,77,646,94,20250722,6,2,150,3,111.7,0.0,335.1,335.1,0,0.0,10,completed,
73,43,78,646,146,20250722,6,2,150,3,16982.31,0.03,49418.52,49418.52,0,0.0,10,completed,
74,43,79,646,153,20250722,6,2,150,2,1064.12,0.1,1915.42,1915.42,0,0.0,10,completed,
75,44,80,990,215,20260203,4,15,90,1,114.43,0.2,91.54,91.54,0,0.0,7,pending,
76,44,81,990,106,20260203,4,15,90,2,1671.47,0.05,3175.79,3175.8,0,0.0,7,pending,
77,44,82,990,60,20260203,4,15,90,3,85.4,0.2,204.96,204.96,0,0.0,7,pending,
78,45,83,787,131,20250429,19,14,207,4,1085.94,0.1,3909.38,0.0,1,3909.38,,cancelled,Late delivery
79,46,84,350,247,20260313,3,6,147,2,304.59,0.1,548.26,548.26,0,0.0,3,pending,
80,46,85,350,44,20260313,3,6,147,5,393.79,0.15,1673.61,1673.61,0,0.0,3,pending,
81,47,86,156,233,20251030,7,6,133,3,259.83,0.03,756.11,756.11,0,0.0,5,completed,
82,48,87,532,28,20260314,11,15,97,1,419.67,0.1,377.7,377.7,0,0.0,8,completed,
83,48,88,532,241,20260314,11,15,97,1,5314.57,0.03,5155.13,5155.14,0,0.0,8,completed,
84,49,89,217,43,20250520,5,6,149,5,82.22,0.0,411.1,411.1,0,0.0,5,completed,
85,49,90,217,59,20250520,5,6,149,2,58.09,0.03,112.69,112.69,0,0.0,5,completed,
86,49,91,217,21,20250520,5,6,149,5,125.89,0.05,597.98,597.98,0,0.0,5,completed,
87,50,92,266,4,20250202,10,6,136,4,2417.73,0.2,7736.74,7736.74,0,0.0,9,completed,
88,51,93,659,40,20250928,10,2,136,1,1365.65,0.05,1297.37,1297.37,0,0.0,3,completed,
89,51,94,659,43,20250928,10,2,136,2,80.47,0.15,136.8,136.8,0,0.0,3,completed,
90,51,95,659,67,20250928,10,2,136,2,1553.72,0.03,3014.22,3014.21,0,0.0,3,completed,
91,52,96,179,136,20260105,12,2,138,2,406.28,0.0,812.56,812.56,0,0.0,2,returned,
92,53,97,524,40,20250703,4,2,239,3,1377.19,0.2,3305.26,3305.26,0,0.0,65,completed,
93,54,98,865,136,20250707,5,10,111,4,424.37,0.05,1612.61,1612.61,0,0.0,8,completed,
94,55,99,405,266,20250121,10,12,116,5,2147.8,0.05,10202.05,7030.71,0,0.0,4,completed,
95,56,100,29,276,20250320,1,2,221,2,4146.99,0.0,8293.98,8293.98,0,0.0,7,completed,
96,56,101,29,235,20250320,1,2,221,3,185.24,0.1,500.15,500.15,0,0.0,7,completed,
97,56,102,29,174,20250320,1,2,221,1,121.98,0.03,118.32,118.32,0,0.0,7,completed,
98,57,103,757,72,20251111,11,16,137,4,340.42,0.03,1320.83,0.0,0,0.0,7,completed,
99,57,104,757,65,20251111,11,16,137,1,8473.95,0.2,6779.16,0.0,0,0.0,7,completed,
100,58,105,991,105,20260317,5,6,198,3,1278.67,0.1,3452.41,3452.41,0,0.0,7,completed,
101,59,106,511,292,20250720,12,6,79,4,1328.66,0.2,4251.71,4251.71,0,0.0,4,completed,
102,60,107,897,207,20250123,10,15,136,5,30.99,0.15,131.71,0.0,1,131.71,7,cancelled,Quality issue
103,61,108,574,220,20260304,11,4,155,5,220.69,0.2,882.76,0.0,0,0.0,9,completed,
104,61,109,574,43,20260304,11,4,155,2,82.34,0.1,148.21,0.0,0,0.0,9,completed,
105,61,110,574,169,20260304,11,4,155,1,152.28,0.03,147.71,0.0,0,0.0,9,completed,
106,62,111,885,71,20251123,10,4,187,3,200.35,0.05,571.0,367.95,0,0.0,3,completed,
107,62,112,885,148,20251123,10,4,187,4,844.12,0.1,3038.83,1958.23,0,0.0,3,completed,
108,62,113,885,182,20251123,10,4,187,1,899.06,0.05,854.11,550.39,0,0.0,3,completed,
109,62,114,885,19,20251123,10,4,187,3,2262.46,0.2,5429.9,3499.04,0,0.0,3,completed,
110,63,115,582,64,20251118,2,10,108,5,31.27,0.1,140.72,140.72,0,0.0,9,completed,
111,64,116,216,213,20250305,11,6,174,2,620.05,0.03,1202.9,1202.9,0,0.0,68,completed,
112,65,117,441,95,20250808,2,2,128,2,65.59,0.15,111.5,111.5,0,0.0,5,cancelled,
113,65,118,441,165,20250808,2,2,128,2,104.62,0.1,188.32,188.32,0,0.0,5,cancelled,
114,66,119,851,158,20260412,12,2,79,5,32.07,0.0,160.35,160.35,0,0.0,5,completed,
115,66,120,851,124,20260412,12,2,79,1,100.54,0.15,85.46,85.46,0,0.0,5,completed,
116,66,121,851,26,20260412,12,2,79,2,967.94,0.0,1935.88,1935.88,0,0.0,5,completed,
117,67,122,996,256,20260515,1,2,107,3,41.44,0.03,120.59,120.59,0,0.0,1,completed,
118,68,123,422,35,20250524,10,10,136,3,1079.2,0.15,2751.96,0.0,0,0.0,10,cancelled,
119,69,124,896,235,20250607,1,5,87,3,207.23,0.0,621.69,136.08,0,0.0,3,completed,
120,71,126,389,250,20251030,11,11,155,1,1259.66,0.1,1133.69,0.0,0,0.0,9,completed,
121,72,127,724,196,20260329,19,6,144,5,1107.62,0.2,4430.48,4430.48,0,0.0,4,completed,
122,73,128,899,24,20250908,10,15,154,3,848.88,0.0,2546.64,2546.64,0,0.0,7,completed,
123,73,129,899,54,20250908,10,15,154,1,766.19,0.0,766.19,766.19,0,0.0,7,completed,
124,74,130,841,284,20260206,11,10,174,4,106.88,0.03,414.69,414.7,0,0.0,8,completed,
125,74,131,841,175,20260206,11,10,174,4,68.92,0.2,220.54,220.54,0,0.0,8,completed,
126,75,132,961,172,20250823,12,15,98,1,171.74,0.03,166.59,166.59,0,0.0,9,completed,
127,76,133,349,186,20260228,1,10,279,5,1510.16,0.05,7173.26,7173.26,0,0.0,1,completed,
128,77,134,228,58,20260509,1,2,87,5,961.42,0.2,3845.68,3845.68,0,0.0,3,completed,
129,77,135,228,105,20260509,1,2,87,3,1270.04,0.03,3695.82,3695.82,0,0.0,3,completed,
130,78,136,144,218,20250928,11,6,204,4,1509.83,0.15,5133.42,0.0,0,0.0,,cancelled,
131,78,137,144,132,20250928,11,6,204,1,4497.71,0.15,3823.05,0.0,0,0.0,,cancelled,
132,79,138,859,109,20251031,3,15,89,1,209.38,0.03,203.1,203.1,1,203.1,3,completed,Late delivery
133,79,139,859,248,20251031,3,15,89,1,396.57,0.03,384.67,384.67,0,0.0,3,completed,
134,80,140,302,293,20260208,3,15,89,1,145.74,0.0,145.74,145.74,1,145.74,1,completed,Late delivery
135,81,141,164,105,20260102,3,1,109,1,1313.47,0.0,1313.47,851.26,0,0.0,4,completed,
136,81,142,164,30,20260102,3,1,109,4,148.71,0.2,475.87,308.41,1,475.87,4,completed,Late delivery
137,82,143,227,139,20250526,1,1,127,2,208.59,0.0,417.18,417.18,0,0.0,4,completed,
138,83,144,590,282,20250305,3,15,129,2,1861.0,0.0,3722.0,3722.0,0,0.0,3,returned,
139,83,145,590,289,20250305,3,15,129,1,3499.15,0.05,3324.19,3324.19,0,0.0,3,returned,
140,84,146,783,140,20260113,11,12,303,1,291.36,0.0,291.36,155.37,0,0.0,5,completed,
141,84,147,783,232,20260113,11,12,303,5,1440.32,0.03,6985.55,3725.0,0,0.0,5,completed,
142,84,148,783,79,20260113,11,12,303,1,48.88,0.1,43.99,23.46,0,0.0,5,completed,
143,84,149,783,165,20260113,11,12,303,4,99.11,0.2,317.15,169.12,0,0.0,5,completed,
144,85,150,252,174,20250731,11,15,289,1,128.74,0.0,128.74,128.74,0,0.0,8,completed,
145,85,151,252,251,20250731,11,15,289,4,230.98,0.15,785.33,785.33,0,0.0,8,completed,
146,86,152,392,239,20250216,12,6,205,5,62.32,0.1,280.44,280.44,0,0.0,8,completed,
147,87,153,769,109,20250925,3,2,70,1,227.16,0.1,204.44,204.44,0,0.0,5,completed,
148,87,154,769,73,20250925,3,2,70,1,535.69,0.05,508.91,508.91,0,0.0,5,completed,
149,88,155,684,275,20250405,1,15,107,5,1551.34,0.2,6205.36,6205.36,0,0.0,3,returned,
150,88,156,684,126,20250405,1,15,107,4,23.3,0.1,83.88,83.88,0,0.0,3,returned,
151,88,157,684,285,20250405,1,15,107,3,154.74,0.03,450.29,450.29,0,0.0,3,returned,
152,88,158,684,209,20250405,1,15,107,5,8245.68,0.15,35044.14,35044.14,0,0.0,3,returned,
153,89,159,789,297,20260116,7,10,74,1,189.58,0.2,151.66,151.66,0,0.0,5,completed,
154,90,160,577,215,20250315,1,10,127,5,125.37,0.2,501.48,501.48,0,0.0,9,completed,
155,91,161,413,95,20250408,3,6,57,1,62.21,0.15,52.88,52.88,0,0.0,91,pending,
156,91,162,413,248,20250408,3,6,57,2,395.82,0.0,791.64,791.64,0,0.0,91,pending,
157,92,163,235,158,20260128,2,12,43,5,31.88,0.1,143.46,84.3,0,0.0,125,returned,
158,92,164,235,188,20260128,2,12,43,4,135.62,0.0,542.48,318.77,0,0.0,125,returned,
159,93,165,86,181,20260218,5,10,111,3,484.69,0.05,1381.37,1381.37,0,0.0,7,completed,
160,93,166,86,110,20260218,5,10,111,5,57.48,0.2,229.92,229.92,0,0.0,7,completed,
161,94,167,52,167,20260211,1,4,127,5,214.41,0.15,911.24,576.48,0,0.0,4,completed,
162,94,168,52,74,20260211,1,4,127,5,383.9,0.0,1919.5,1214.33,0,0.0,4,completed,
163,94,169,52,26,20260211,1,4,127,1,944.83,0.1,850.35,537.96,0,0.0,4,completed,
164,95,170,524,105,20251102,1,2,127,3,1278.97,0.15,3261.37,3261.37,1,3261.37,7,completed,Wrong item
165,95,171,524,239,20251102,1,2,127,2,68.01,0.0,136.02,136.02,0,0.0,7,completed,
166,96,172,621,194,20250130,11,2,272,5,13813.86,0.15,58708.9,58708.9,0,0.0,2,pending,
167,97,173,968,58,20251217,11,10,137,4,895.0,0.05,3401.0,3401.0,1,3401.0,3,completed,Wrong item
168,98,174,462,291,20260215,12,6,304,5,2136.65,0.03,10362.75,10362.75,0,0.0,7,completed,
169,99,175,904,70,20250706,11,15,78,3,1006.09,0.15,2565.53,2565.53,0,0.0,153,completed,
170,99,176,904,275,20250706,11,15,78,2,1502.0,0.2,2403.2,2403.2,0,0.0,153,completed,
171,99,177,904,135,20250706,11,15,78,1,516.9,0.05,491.05,491.05,0,0.0,153,completed,
172,100,178,528,291,20250804,12,15,79,1,2237.67,0.1,2013.9,2013.9,0,0.0,4,completed,
173,101,179,800,199,20250406,8,10,94,4,353.88,0.03,1373.05,1373.05,0,0.0,6,completed,
174,102,180,878,120,20250114,10,10,154,3,312.86,0.1,844.72,844.72,0,0.0,3,completed,
175,102,181,878,186,20250114,10,10,154,2,1552.42,0.0,3104.84,3104.84,0,0.0,3,completed,
176,103,182,595,146,20250313,4,15,33,5,16138.82,0.05,76659.4,76659.4,0,0.0,8,completed,
177,103,183,595,158,20250313,4,15,33,3,31.77,0.05,90.54,90.54,0,0.0,8,completed,
178,104,184,946,125,20260404,10,10,96,5,230.85,0.05,1096.54,1096.54,1,1096.54,6,completed,Wrong item
179,105,185,4,232,20260321,2,12,56,4,1458.85,0.1,5251.86,1514.43,0,0.0,5,completed,
180,106,186,444,147,20250401,2,10,128,2,1940.47,0.0,3880.94,3880.94,0,0.0,4,completed,
181,107,187,433,149,20251204,12,15,98,5,161.83,0.2,647.32,647.32,0,0.0,4,returned,
182,107,188,433,194,20251204,12,15,98,4,13298.28,0.0,53193.12,53193.12,0,0.0,4,returned,
183,107,189,433,147,20251204,12,15,98,4,1789.01,0.2,5724.83,5724.83,0,0.0,4,returned,
184,108,190,81,83,20251213,9,2,115,2,1623.87,0.0,3247.74,3247.74,0,0.0,9,returned,
185,108,191,81,161,20251213,9,2,115,1,5397.33,0.03,5235.41,5235.41,0,0.0,9,returned,
186,109,192,117,29,20251013,3,2,129,3,37.44,0.2,89.86,89.86,0,0.0,3,completed,
187,109,193,117,57,20251013,3,2,129,1,185.77,0.1,167.19,167.19,0,0.0,3,completed,
188,110,194,102,98,20250109,10,14,96,1,11275.24,0.05,10711.48,3957.88,0,0.0,5,completed,
189,110,195,102,259,20250109,10,14,96,3,251.62,0.15,641.63,237.08,0,0.0,5,completed,
190,110,196,102,79,20250109,10,14,96,2,51.08,0.0,102.16,37.75,0,0.0,5,completed,
191,111,197,727,14,20260308,5,10,297,1,70.23,0.15,59.7,59.7,1,59.7,5,completed,Damaged product
192,111,198,727,73,20260308,5,10,297,5,514.82,0.0,2574.1,2574.1,0,0.0,5,completed,
193,112,199,489,291,20260325,11,14,11,2,2310.95,0.0,4621.9,0.0,0,0.0,8,cancelled,
194,112,200,489,162,20260325,11,14,11,1,18407.43,0.1,16566.69,0.0,0,0.0,8,cancelled,
195,113,201,767,106,20250926,10,15,154,1,1870.76,0.2,1496.61,1496.61,0,0.0,10,completed,
196,113,202,767,150,20250926,10,15,154,4,426.51,0.03,1654.86,1654.86,0,0.0,10,completed,
197,113,203,767,77,20250926,10,15,154,3,64.62,0.0,193.86,193.86,0,0.0,10,completed,
198,114,204,273,4,20260103,3,10,109,2,2352.8,0.1,4235.04,4235.04,0,0.0,65,completed,
199,114,205,273,158,20260103,3,10,109,1,32.36,0.15,27.51,27.51,0,0.0,65,completed,
200,115,206,953,181,20250107,10,10,136,2,496.52,0.15,844.08,844.08,0,0.0,6,completed,
201,116,207,505,293,20250608,9,10,95,5,136.81,0.15,581.44,581.44,0,0.0,66,completed,
202,117,208,835,186,20250905,6,10,183,4,1576.61,0.05,5991.12,0.0,0,0.0,,cancelled,
203,117,209,835,295,20250905,6,10,183,2,342.11,0.15,581.59,0.0,0,0.0,,cancelled,
204,118,211,79,121,20250316,8,2,94,5,816.86,0.0,4084.3,4084.3,0,0.0,6,completed,
205,118,212,79,262,20250316,8,2,94,3,767.53,0.03,2233.51,2233.51,0,0.0,6,completed,
206,119,213,192,230,20250603,11,2,174,5,1291.73,0.0,6458.65,0.0,0,0.0,,cancelled,
207,120,215,153,229,20250514,2,15,146,1,385.7,0.2,308.56,308.56,0,0.0,7,pending,
208,120,216,153,100,20250514,2,15,146,2,1936.94,0.05,3680.19,3680.19,0,0.0,7,pending,
209,121,217,327,36,20251214,6,12,112,5,3558.7,0.2,14234.8,4806.39,0,0.0,4,pending,
210,121,218,327,209,20251214,6,12,112,5,7939.22,0.0,39696.1,13403.41,0,0.0,4,pending,
211,122,219,681,45,20250301,4,6,265,4,208.88,0.1,751.97,751.97,1,751.97,5,completed,Late delivery
212,122,220,681,265,20250301,4,6,265,2,897.4,0.1,1615.32,1615.32,0,0.0,5,completed,
213,123,221,813,43,20250401,10,15,96,4,80.88,0.2,258.82,258.82,0,0.0,61,completed,
214,123,222,813,231,20250401,10,15,96,2,512.36,0.0,1024.72,1024.72,0,0.0,61,completed,
215,124,223,713,144,20251212,3,1,109,4,65.82,0.1,236.95,0.0,0,0.0,3,completed,
216,125,224,656,217,20250226,9,10,95,5,1325.78,0.15,5634.56,5634.57,0,0.0,8,returned,
217,125,225,656,229,20250226,9,10,95,1,393.47,0.1,354.12,354.12,0,0.0,8,returned,
218,126,226,459,24,20250911,12,2,304,3,880.42,0.15,2245.07,2245.07,0,0.0,9,completed,
219,128,229,210,242,20251018,10,4,116,5,14387.18,0.1,64742.31,38275.39,0,0.0,6,completed,
220,128,230,210,227,20251018,10,4,116,1,1020.14,0.15,867.12,512.64,0,0.0,6,completed,
221,129,231,117,114,20260416,10,15,216,3,13208.33,0.05,37643.74,37643.73,1,37643.74,2,completed,Late delivery
222,129,232,117,169,20260416,10,15,216,5,732.07,0.1,3294.32,3294.32,0,0.0,2,completed,
223,129,233,117,174,20260416,10,15,216,1,114.86,0.05,109.12,109.12,0,0.0,2,completed,
224,130,234,910,114,20250815,10,2,77,3,13322.08,0.03,38767.25,38767.26,0,0.0,9,completed,
225,130,235,910,239,20250815,10,2,77,5,68.94,0.05,327.46,327.46,0,0.0,9,completed,
226,130,236,910,37,20250815,10,2,77,2,280.44,0.15,476.75,476.75,0,0.0,9,completed,
227,130,237,910,19,20250815,10,2,77,1,2100.14,0.0,2100.14,2100.14,0,0.0,9,completed,
228,131,238,762,27,20251216,3,12,70,1,79.53,0.2,63.62,19.8,0,0.0,2,pending,
229,132,239,638,229,20250425,12,14,138,2,367.63,0.15,624.97,320.52,0,0.0,4,cancelled,
230,133,240,621,125,20260510,1,15,221,2,215.54,0.03,418.15,418.15,0,0.0,10,completed,
231,133,241,621,217,20260510,1,15,221,4,1222.38,0.2,3911.62,3911.62,0,0.0,10,completed,
232,133,242,621,13,20260510,1,15,221,5,51.99,0.03,252.15,252.15,0,0.0,10,completed,
233,134,243,243,146,20250329,16,2,234,3,16335.72,0.0,49007.16,0.0,0,0.0,,cancelled,
234,135,244,811,94,20250510,3,15,147,2,119.19,0.05,226.46,226.46,0,0.0,8,completed,
235,135,245,811,142,20250510,3,15,147,5,77.95,0.2,311.8,311.8,0,0.0,8,completed,
236,136,246,628,184,20251122,3,2,109,1,973.41,0.0,973.41,973.41,0,0.0,5,pending,
237,137,247,682,214,20250125,11,2,188,3,429.25,0.15,1094.59,0.0,0,0.0,,cancelled,
238,137,248,682,113,20250125,11,2,188,1,7217.08,0.0,7217.08,0.0,0,0.0,,cancelled,
239,138,249,773,74,20250923,17,15,123,3,367.69,0.05,1047.92,1047.92,0,0.0,5,completed,
240,138,250,773,185,20250923,17,15,123,2,689.25,0.05,1309.58,1309.58,0,0.0,5,completed,
241,138,251,773,85,20250923,17,15,123,1,1062.05,0.15,902.74,902.74,0,0.0,5,completed,
242,138,252,773,270,20250923,17,15,123,5,120.13,0.2,480.52,480.52,0,0.0,5,completed,
243,139,253,952,236,20250429,10,2,77,1,75.0,0.15,63.75,63.75,0,0.0,10,completed,
244,139,254,952,132,20250429,10,2,77,5,4578.59,0.1,20603.66,20603.66,1,20603.66,10,completed,Damaged product
245,140,255,461,260,20260122,9,15,153,2,1407.63,0.0,2815.26,2815.26,0,0.0,7,pending,
246,141,256,89,156,20250202,3,6,147,5,313.58,0.0,1567.9,1567.9,0,0.0,4,returned,
247,141,257,89,184,20250202,3,6,147,1,1031.42,0.03,1000.48,1000.48,0,0.0,4,returned,
248,142,258,55,21,20250720,10,6,288,5,118.76,0.05,564.11,564.11,0,0.0,5,completed,
249,142,259,55,25,20250720,10,6,288,3,1199.31,0.1,3238.14,3238.14,0,0.0,5,completed,
250,143,260,251,30,20260317,11,7,78,1,141.47,0.15,120.25,51.82,0,0.0,2,completed,
251,143,261,251,169,20260317,11,7,78,1,158.57,0.0,158.57,68.34,0,0.0,2,completed,
252,144,262,531,83,20260318,11,9,117,4,1622.3,0.2,5191.36,5191.36,0,0.0,6,completed,
253,145,263,375,110,20260112,3,2,70,1,61.51,0.15,52.28,52.28,0,0.0,8,completed,
254,145,264,375,208,20260112,3,2,70,2,47.79,0.05,90.8,90.8,0,0.0,8,completed,
255,146,265,772,285,20250109,6,15,150,4,164.52,0.1,592.27,592.27,0,0.0,9,completed,
256,147,266,416,17,20260210,3,15,89,2,8150.19,0.03,15811.37,15811.37,0,0.0,6,completed,
257,147,267,416,60,20260210,3,15,89,4,82.86,0.0,331.44,331.44,0,0.0,6,completed,
258,148,268,584,113,20250202,3,7,129,5,6737.06,0.05,32001.03,0.0,1,32001.03,181,completed,Quality issue
259,149,269,856,169,20251130,4,10,211,4,988.07,0.15,3359.44,3359.43,0,0.0,6,completed,
260,149,270,856,56,20251130,4,10,211,3,935.29,0.2,2244.7,2244.7,0,0.0,6,completed,
261,150,271,796,212,20260320,1,2,87,5,2837.39,0.15,12058.91,12058.91,0,0.0,10,completed,
262,151,272,973,114,20250213,9,15,95,1,12526.47,0.03,12150.68,12150.68,0,0.0,4,completed,
263,151,273,973,52,20250213,9,15,95,4,1408.12,0.1,5069.23,5069.23,0,0.0,4,completed,
264,152,274,591,229,20251007,11,15,155,1,371.83,0.0,371.83,371.83,0,0.0,8,completed,
265,152,275,591,70,20251007,11,15,155,2,1021.11,0.2,1633.78,1633.78,0,0.0,8,completed,
